no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5
44,1599,Pantun cinta dan kasih,"Burung kenari bersuara sendu
Di pohon ara tepi halaman
Jika rindu datang bertalu
Mengapa engkau tak beri jawaban","Burung kenari bersuara sendu
Di pohon ara tepi halaman","Jika rindu datang bertalu
Mengapa engkau tak beri jawaban",Claude,few_shot,Hasil Few-shot,"Angin berhembus menuju hulu
Sudah lama menanti balasan",2,2,1,1.000000,0.000000,10,10,9,11,0,
42,1635,Pantun cinta dan kasih,"Burung merpati terbang berdua
Menyusuri awan indah berlapis
Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Burung merpati terbang berdua
Menyusuri awan indah berlapis","Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis",Claude,few_shot,Hasil Few-shot,"Pohon jati tumbuh di rimba
Air jernih mengalir manis",2,2,1,1.000000,0.000000,9,9,10,10,0,
60,1710,Pantun bakti keluarga,"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu","Burung pipit terbang rendah
Hinggap manis di atas batu","Jika ingin hidup berkah
Hormati ayah dan ibu",Claude,few_shot,Hasil Few-shot,"Padi menguning di tengah sawah
Perahu kecil terbuat dari kayu",2,2,1,1.000000,0.000000,10,12,8,8,0,
69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata","Jika ingin hidup berarti
Hidupkan empati dalam jiwa",Claude,few_shot,Hasil Few-shot,"Hujan turun sudah pasti
Di puncak gunung bersemayam dewa",2,2,1,1.000000,0.000000,8,11,9,10,0,
65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi","Kalau ingin hidup bahagia
Jaga hati dari dengki",Claude,few_shot,Hasil Few-shot,"Berlayar jauh ke tanah mulia
Pohon kelapa tumbuh tinggi",2,2,1,1.000000,0.000000,11,9,10,8,0,
8,120,Pantun nasihat dan budi pekerti,"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah","Air hujan turun ke ladang
Menyuburkan padi di sawah","Jika hidup ingin tenang
Jangan suka mencari salah",Claude,few_shot,Hasil Few-shot,"Layang-layang terbang melayang
Anak kecil bermain di sawah",2,2,1,1.000000,0.000000,9,10,8,9,0,
86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong","temanku ini memang cantik
sayang dia giginya ompong",Claude,few_shot,Hasil Few-shot,"Kain batik bermotif unik
Baju lama digigit tikus jadi bolong",2,2,1,0.852344,0.000000,9,13,9,9,1,
99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang","bermain kejarkejaran
badan sehat hati pun senang",Claude,few_shot,Hasil Few-shot,"Pergi ke taman bermain layangan
Ayam berkokok riang di kandang",2,2,1,1.000000,0.166667,11,10,8,9,0,
28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara","Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara",Claude,few_shot,Hasil Few-shot,"Burung camar terbang melayang
Pergi ke kota membeli kaca",2,2,1,1.000000,0.000000,9,10,11,11,0,
96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang","bermain layanglayang bersama teman
lupa waktu hampir petang",Claude,few_shot,Hasil Few-shot,"Anak-anak berkumpul di halaman
Kambing digiring pulang ke kandang",2,2,1,1.000000,0.000000,11,10,12,8,0,
57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata","Jika ingin hidup gemilang
Jangan lupa restu orang tua",Claude,few_shot,Hasil Few-shot,"Bulan purnama bersinar cemerlang
Pohon beringin sudah lama tua",2,2,1,1.000000,0.111111,11,11,9,10,0,
46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati","Rindu padamu kian berputar
Kasih terikat janji sejati",Claude,zero_shot,Hasil Zero-shot,"Roda pedati terus berputar
Kembang melati harum di hati",2,2,1,1.000000,0.125000,10,10,10,10,0,
78,4854,Pantun sosial dan kerukunan,"Pergi ke desa membawa padi
Padi ditumbuk jadi beras
Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Pergi ke desa membawa padi
Padi ditumbuk jadi beras","Jika ingin hidup penuh budi
Hormati sesama tanpa membalas",Claude,zero_shot,Hasil Zero-shot,"Bunga melati harum mewangi,
Ikan berenang di sungai deras",2,2,1,1.000000,0.000000,10,10,10,11,0,
26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu","Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu",Claude,zero_shot,Hasil Zero-shot,"Pergi ke kebun memetik daun
Singgah sejenak mencari susu",2,2,1,1.000000,0.125000,10,10,11,9,0,
37,313,Pantun kiasan dan peribahasa,"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati
Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati","Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati",Claude,zero_shot,Hasil Zero-shot,"Kain batik bermacam rupa
Bunga kemboja layu lalu mati",2,2,1,1.000000,0.166667,9,11,10,9,0,
72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa","Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa",Claude,zero_shot,Hasil Zero-shot,"Pergi ke pasar membeli topi
Singgah sejenak di rumah tua",2,2,1,1.000000,0.000000,10,10,10,10,0,
32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar","Budi bahasa jadi pegangan
Agar hidup sentiasa wajar",Claude,zero_shot,Hasil Zero-shot,"Anak kecil bermain layangan
Petang hari pergi belajar",2,2,1,1.000000,0.000000,10,9,10,10,0,
52,1714,Pantun persahabatan,"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit terbang rendah
Hinggap sebentar di pohon cemara","Jika hati selalu ramah
Banyak sahabat datang menyapa",Claude,zero_shot,Hasil Zero-shot,"Pergi ke kebun memetik buah
Singgah sejenak di kedai kita",2,2,1,1.000000,0.000000,10,10,9,10,0,
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",Claude,zero_shot,Hasil Zero-shot,"Pergi ke taman memetik bunga
Indah mekar sepanjang hari",2,2,1,1.000000,0.000000,10,9,11,11,0,
75,1347,Pantun kebangsaan,"Bunga kenanga mekar berseri
Harumnya halus menawan rasa
Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Bunga kenanga mekar berseri
Harumnya halus menawan rasa","Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa",Claude,zero_shot,Hasil Zero-shot,"Pergi ke ladang menanam padi
Singgah sejenak melepas dahaga",2,2,1,1.000000,0.000000,10,11,10,11,0,
10,3176,Pantun nasihat dan budi pekerti,"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Ke kebun bunga memetik mawar
Mawar merah harum baunya","Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia",Claude,zero_shot,Hasil Zero-shot,"Ikan gurame dijual di pasar
Dimasak enak dengan bumbu cuka",2,2,1,1.000000,0.000000,11,11,11,11,0,
17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu","hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",Claude,zero_shot,Hasil Zero-shot,"Pergi ke ladang membawa alat
Bekerja keras sepanjang waktu",2,2,1,1.000000,0.000000,10,10,12,10,0,
38,3270,Pantun kiasan dan peribahasa,"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi","Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani",Claude,zero_shot,Hasil Zero-shot,"Ke pasar pagi membeli kaca
Jangan gentar jadilah berani",2,2,1,1.000000,0.000000,10,10,9,10,0,
50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja","Jika ingin dihormati teman
Bersikap rendah hati sentiasa",Claude,zero_shot,Hasil Zero-shot,"Kalau berjalan menuju hutan
Hidup sederhana di desa",2,2,1,1.000000,0.000000,10,9,10,11,0,
59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar","sejak kecil kita diasuh
jasa ibu bapak sangatlah besar",Claude,zero_shot,Hasil Zero-shot,"Pohon rendang tempat berteduh
Angin bertiup dari seberang pasar",2,2,1,1.000000,0.000000,9,12,9,11,0,
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,zero_shot,Hasil Zero-shot,"Pergi ke kota naik kereta
Singgah sebentar mencari kabar",2,2,1,1.000000,0.000000,10,10,10,8,0,
28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara","Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara",Claude,zero_shot,Hasil Zero-shot,"Ke tepi kolam hati pun senang
Angin sepoi menyejukkan udara",2,2,1,1.000000,0.000000,10,11,11,11,0,
84,4791,Pantun perpisahan dan perantauan,"pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan
semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan","semakin jauh ke rantau orang
hanya keluarga yang aku rindukan",Claude,zero_shot,Hasil Zero-shot,"Burung camar terbang melayang,
Singgah dahulu di tepi jalan",2,2,1,1.000000,0.000000,9,10,10,12,0,
66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi","begini nasib jadi pedagang
kadang untung kadang rugi",Claude,zero_shot,Hasil Zero-shot,"Pergi ke pasar menjual pisang
Berjalan kaki menempuh sepi",2,2,1,1.000000,0.000000,10,10,10,8,0,
96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang","bermain layanglayang bersama teman
lupa waktu hampir petang",Claude,zero_shot,Hasil Zero-shot,"Pergi memancing bersama kawan,
Balik ke rumah langit pun terang",2,2,1,1.000000,0.125000,10,10,12,8,0,
99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang","bermain kejarkejaran
badan sehat hati pun senang",Claude,zero_shot,Hasil Zero-shot,"Anak-anak bermain di halaman,
Tertawa riang sepanjang petang",2,2,1,1.000000,0.166667,11,10,8,9,0,
65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi","Kalau ingin hidup bahagia
Jaga hati dari dengki",Claude,zero_shot,Hasil Zero-shot,"Bunga mawar mekar di taman kota
Kupu-kupu terbang menari-nari",2,2,1,1.000000,0.000000,11,11,10,8,0,
18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi","Jika hidup ingin berkah
Rajin ibadah setiap hari",Claude,zero_shot,Hasil Zero-shot,"Ke pasar pagi membeli buah
Dibawa pulang sambil berlari",2,2,1,1.000000,0.000000,10,10,8,10,0,
79,1697,Pantun sosial dan kerukunan,"Burung pipit hinggap di dahan
Bersiul riang di pagi hari
Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Burung pipit hinggap di dahan
Bersiul riang di pagi hari","Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati",Claude,zero_shot,Hasil Zero-shot,"Anak kecil bermain di halaman,
Kupu-kupu terbang tinggi",2,2,1,1.000000,0.000000,11,8,12,9,0,
23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati","Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati",Claude,zero_shot,Hasil Zero-shot,"Burung pipit terbang ke hutan
Hinggap sejenak menyambut pagi",2,2,1,1.000000,0.000000,9,10,10,11,0,
81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja","baru seminggu kita berpisah
rindu di hati telah membara",Claude,zero_shot,Hasil Zero-shot,"Pergi ke pasar membeli buah,
Duduk termenung bercerita",2,2,1,1.000000,0.000000,10,9,10,10,0,
61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan","kalau hidup hendak selamat
ayah dan bunda kita muliakan",DeepSeek-R1,few_shot,Hasil Few-shot,"Ayah bunda yang selalu sayang
Kita hormati dengan sepenuh jiwa",2,2,0,1.000000,0.285714,10,12,9,11,0,
57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata","Jika ingin hidup gemilang
Jangan lupa restu orang tua",DeepSeek-R1,few_shot,Hasil Few-shot,"Ibu bapak yang memberi nian
Restu mereka akan kita jaga",2,2,0,1.000000,0.111111,10,11,9,10,0,
85,6374,Pantun perpisahan dan perantauan,"tanjung sauh di pulau bintan
tempat berlabuh orang penyengat
berpisah jauh bercerai badan
sahabat handai tetap kuingat","tanjung sauh di pulau bintan
tempat berlabuh orang penyengat","berpisah jauh bercerai badan
sahabat handai tetap kuingat",DeepSeek-R1,few_shot,Hasil Few-shot,"Sahabat baik seperti bukit yang kokoh
Cerai badan takkan abai keingatan",2,2,0,0.852344,0.250000,13,12,10,10,1,
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",DeepSeek-R1,few_shot,Hasil Few-shot,"Kayu tinggi dihela perahu
Bulan tinggi di langit malam",2,2,0,1.000000,0.000000,10,9,11,9,0,
87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang","nenek murung jadi tertawa
melihat kakek main kelereng",DeepSeek-R1,few_shot,Hasil Few-shot,"Kakek sibuk menggaruk tanah
Nenek tertawa mendengar mainan kelereng",2,2,0,0.852344,0.571429,9,13,9,10,1,
39,5861,Pantun kiasan dan peribahasa,"sampan perahu mengejar kayak
dari hulu tak kenakena
dusta itu bagaikan riak
membuat hati gundah gulana","sampan perahu mengejar kayak
dari hulu tak kenakena","dusta itu bagaikan riak
membuat hati gundah gulana",DeepSeek-R1,few_shot,Hasil Few-shot,"Kebenaran yang murni seperti
Permukaan air yang tenang dan jernih",2,2,0,1.000000,0.000000,10,12,9,10,0,
64,1377,Pantun kehidupan dan renungan,"Bunga mawar merah berduri
Cantik mekar di taman desa
Jika hati bersih nurani
Hidup indah penuh rasa","Bunga mawar merah berduri
Cantik mekar di taman desa","Jika hati bersih nurani
Hidup indah penuh rasa",DeepSeek-R1,few_shot,Hasil Few-shot,"Hati yang suci dan bersih nian
Mencerminkan kebijaksanaan tinggi",2,2,0,1.000000,0.250000,10,12,9,8,0,
72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa","Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa",DeepSeek-R1,few_shot,Hasil Few-shot,"Jujur dan amanah di atas segalanya
Bangsa kita akan kuat dan besar",2,2,0,0.852344,0.250000,13,11,10,10,1,
46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati","Rindu padamu kian berputar
Kasih terikat janji sejati",DeepSeek-R1,few_shot,Hasil Few-shot,"Kekaguman terhadap seseorang
Ditopang oleh janji-janji setia",2,2,0,1.000000,0.000000,11,12,10,10,0,
24,5202,Pantun pendidikan,"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu","Pergi ke pasar membeli talas
Tak lupa membeli buah duku","Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu",DeepSeek-R1,few_shot,Hasil Few-shot,"Bidadari tinggal di awan tinggi
Hutan rimbun di balik bukit",2,2,0,1.000000,0.000000,11,9,10,11,0,
42,1635,Pantun cinta dan kasih,"Burung merpati terbang berdua
Menyusuri awan indah berlapis
Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Burung merpati terbang berdua
Menyusuri awan indah berlapis","Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis",DeepSeek-R1,few_shot,Hasil Few-shot,"Cinta dan kasih sayang perlu dijaga
Agar kebahagiaan tetap abadi terasa",2,2,0,0.623298,0.444444,12,16,10,10,4,
99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang","bermain kejarkejaran
badan sehat hati pun senang",DeepSeek-R1,few_shot,Hasil Few-shot,"Permainan yang kudalami malam
Hanya kejar-kejaran di tanah lapang",2,2,0,1.000000,0.166667,10,12,8,9,0,
11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti","Jika ingin hidup mulia
Jujur selalu dalam hati",DeepSeek-R1,few_shot,Hasil Few-shot,"Pusaka zaman dulu kala
Bukit tinggi masih diingat",2,2,0,1.000000,0.000000,9,9,9,9,0,
60,1710,Pantun bakti keluarga,"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu","Burung pipit terbang rendah
Hinggap manis di atas batu","Jika ingin hidup berkah
Hormati ayah dan ibu",DeepSeek-R1,few_shot,Hasil Few-shot,"Hidup dengan budi dan amal
Membawa kebahagiaan dunia",2,2,0,1.000000,0.142857,9,12,8,8,0,
79,1697,Pantun sosial dan kerukunan,"Burung pipit hinggap di dahan
Bersiul riang di pagi hari
Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Burung pipit hinggap di dahan
Bersiul riang di pagi hari","Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati",DeepSeek-R1,few_shot,Hasil Few-shot,"Pegunungan tinggi menyembul awan
Hati dan lisan dijaga dari duka",2,2,0,1.000000,0.222222,11,12,12,9,0,
22,4434,Pantun pendidikan,"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Pagi cerah memetik mawar
Harumnya sampai ke halaman","Ilmu dicari dengan sabar
Supaya hidup penuh harapan",DeepSeek-R1,few_shot,Hasil Few-shot,"Hutan belantara di balik bukit
Langit jernih awan putih",2,2,0,1.000000,0.000000,11,8,9,10,0,
77,1606,Pantun sosial dan kerukunan,"Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara
Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama","Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara","Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama",DeepSeek-R1,few_shot,Hasil Few-shot,"Langit biru memandu senja
Budi peksa menaburkan bunga",2,2,0,1.000000,0.000000,9,10,11,11,0,
88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri","ketika ditanya semuanya diam
karena kentut tak berbunyi",DeepSeek-R1,few_shot,Hasil Few-shot,"Ruang kelas sunyi saat guru bicara
Diam semua karena bisik tak berisik",2,2,0,0.674969,0.285714,13,14,12,9,3,
7,5357,Pantun nasihat dan budi pekerti,"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah","Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah",DeepSeek-R1,few_shot,Hasil Few-shot,"Bidadari tinggal di awan
Singa tinggi di sela gunung",2,2,0,1.000000,0.000000,9,9,10,12,0,
54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya","Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya",DeepSeek-R1,few_shot,Hasil Few-shot,"Hidup ini tidak sendiri nian
Bagi diri sendiri dan sesama",2,2,1,1.000000,0.142857,11,11,9,11,0,
91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah","cobalah terka pantunku ini
akar di atas pucuk di bawah",DeepSeek-R1,few_shot,Hasil Few-shot,"Dunia maya menarik perhatian
Sayangnya gigi ompong sering bolong",2,2,0,1.000000,0.000000,12,11,10,10,0,
74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena","Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda",DeepSeek-R1,few_shot,Hasil Few-shot,"Menjunjung tinggi amanah dan kejujuran
Bangsa kita akan selalu dihormati",2,2,0,0.748293,0.285714,13,13,10,10,2,
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",DeepSeek-R1,few_shot,Hasil Few-shot,"Sungai jernih mengalir perlahan
Pohon besar menembus awan tinggi",2,2,0,1.000000,0.000000,10,11,9,11,0,
30,3695,Pantun adat dan budaya,"lebat daun bunga tanjung
berbau harum bunga cempaka
adat dijaga pusaka dijunjung
baru terpelihara adat pesaka","lebat daun bunga tanjung
berbau harum bunga cempaka","adat dijaga pusaka dijunjung
baru terpelihara adat pesaka",DeepSeek-R1,few_shot,Hasil Few-shot,"Adat adalah akar budaya kita
Pusaka membawa warisan peradaban",2,2,0,0.852344,0.285714,12,13,11,12,1,
31,1743,Pantun adat dan budaya,"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun
Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Burung tempua beranyam sarang
Di pohon sena rimbun berdaun","Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun",DeepSeek-R1,few_shot,Hasil Few-shot,"Kesopanan dan sopan santun
Menjadi ciri khas bangsa kita",2,2,0,1.000000,0.125000,9,10,10,9,0,
15,2465,Pantun agama,"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama","Ikan sepat ikan gabus
Masak lemak dalam belanga","Jika hendak hidup lurus
Ikut adat dan agama",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jika hendak hidup lurus
Ikut adat dan agama",2,2,1,1.000000,1.000000,8,8,8,8,0,
72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa","Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Tinggalkanlah kebajikan dengan tekun
Agar kemuliaan negeri kau junjung",2,2,0,0.852344,0.000000,12,13,10,10,1,
66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi","begini nasib jadi pedagang
kadang untung kadang rugi",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Beginilah nasib seorang pedagang
Tidak selamanya peruntungan membudikannya",2,2,0,0.674969,0.333333,12,15,10,8,3,
51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata","Jika hendak disayang kawan
Bersikap jujur sepanjang masa",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Hendaklah kau bijaksana
Tak pernah berbohong di saat itu",2,2,0,1.000000,0.000000,8,11,9,10,0,
