isi_input_model;sampiran_generated;semantic_bridge_score_llm_1_5;score_source;no;id_data_asli;jenis_pantun;pantun_asli_lengkap;sampiran_asli;model;setting;setting_label;gen_line_count;isi_line_count;r_score;a_score;clr;suku_baris_1;suku_baris_2;suku_baris_3;suku_baris_4;dev_total
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Burung nuri terbang tinggi
Hinggap sejenak menuju hutan";3;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;8;10;9;11;0
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Kembang melati harum berseri
Angin berhembus sejuk di halaman";3;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;11;9;11;0
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya";3;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;12;9;11;0
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Bintang malam di langit biru
Taman kecil di balik bukit";2;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;9;9;11;0
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"Bunga kenanga indah warnanya
Burung pipit terbang tinggi";3;manual_pending;13;2101;Pantun agama;"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;8;8;9;0
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"Berlayar jauh menuju hutan
Angin bertiup sejuk di ladang";2;manual_pending;13;2101;Pantun agama;"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;8;9;0
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"Di tengah sawah tinggi di taman
Hidup harmonis dan bahagia selalu";1;manual_pending;13;2101;Pantun agama;"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;852344;0;10;13;8;9;1
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"Suara azan memecah sunyi malam,
Ketaatan membawa ketenangan abadi.";1;manual_pending;13;2101;Pantun agama;"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang";Sailor2;few_shot;Hasil Few-shot;2;2;0;748293;0;12;14;8;9;2
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"Bukit tinggi dengan pohon pinus
Taman kecil di balik bukit";3;manual_pending;13;2101;Pantun agama;"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang";"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;9;8;9;0
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Bunga melur indah terpuji
Singgah sebentar di balai pergaulan";3;manual_pending;14;2129;Pantun agama;"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;11;10;10;0
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Layar terkembang kain putih
Angin berhembus ke arah desa";4;manual_pending;14;2129;Pantun agama;"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;10;10;10;0
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Air sungai mengalir jernih
Membasahi sawah dan desa";3;manual_pending;14;2129;Pantun agama;"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;9;9;10;10;0
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Air terjun deras dan jernih
Bunga melati tumbuh di desa";3;manual_pending;14;2129;Pantun agama;"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;10;10;10;0
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Langit jernih awan putih
Taman kecil di balik bukit";3;manual_pending;14;2129;Pantun agama;"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa";"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;8;9;10;10;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Burung merpati terbang perlahan
Embun pagi menyapa tenang";3;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;9;8;8;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Kayu jati diukir halus
Dibawa orang dari bukit sama";4;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;11;8;8;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Kucing berlari mengejar tikus
Larinya cepat menuju desa";3;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;8;8;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Ombak berderu angin berhembus
Padi ditanam di sawah desa";3;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;8;8;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya";3;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;10;8;8;0
"Jika hendak hidup lurus
Ikut adat dan agama";"Pantai berpasir putih halus
Bukit tinggi dengan pohon pinus";3;manual_pending;15;2465;Pantun agama;"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama";"Ikan sepat ikan gabus
Masak lemak dalam belanga";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;8;8;0
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"Bunga teratai mekar di rawa
Kunang-kunang terbang di malam sunyi";4;manual_pending;16;6428;Pantun agama;"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"terang bulan terang bercahaya
cahaya memancar ke tanjung jati";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;11;11;11;0
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"Hutan rimba tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya";3;manual_pending;16;6428;Pantun agama;"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"terang bulan terang bercahaya
cahaya memancar ke tanjung jati";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;12;11;11;0
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"Langit senja dengan awan emas berarak,
Amalan baik, kebahagiaan abadi.";1;manual_pending;16;6428;Pantun agama;"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"terang bulan terang bercahaya
cahaya memancar ke tanjung jati";Sailor2;few_shot;Hasil Few-shot;2;2;0;674969;0;13;14;11;11;3
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"Hutan belantara di balik bukit
Langit cerah hias keindahan";3;manual_pending;16;6428;Pantun agama;"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati";"terang bulan terang bercahaya
cahaya memancar ke tanjung jati";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;10;11;11;0
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"Kayu lurus dibuat galah
Perahu kecil menuju dermaga";3;manual_pending;17;6031;Pantun agama;"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"senja terbenam di langit barat
bulan tak bersinar di malam sendu";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;11;12;10;0
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"Singgah sebentar membeli berat
Beli bambu beruas sembilan";4;manual_pending;17;6031;Pantun agama;"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"senja terbenam di langit barat
bulan tak bersinar di malam sendu";Gemini;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;10;12;10;0
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"Singgah sebentar di kota barat
Membeli kain berwarna biru";4;manual_pending;17;6031;Pantun agama;"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"senja terbenam di langit barat
bulan tak bersinar di malam sendu";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;12;10;0
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"Pusaka zaman dulu kala
Bukit curam dengan pohon pinus";2;manual_pending;17;6031;Pantun agama;"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu";"senja terbenam di langit barat
bulan tak bersinar di malam sendu";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;12;10;0
"Jika hidup ingin berkah
Rajin ibadah setiap hari";"Anak desa wajah bahagia
Burung pipit terbang tinggi";3;manual_pending;18;4555;Pantun agama;"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pagi hari menuju sawah
Embun jatuh di daun padi";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;8;8;10;0
"Jika hidup ingin berkah
Rajin ibadah setiap hari";"Padi menguning di ladang sawah
Kupu-kupu terbang kian kemari";3;manual_pending;18;4555;Pantun agama;"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pagi hari menuju sawah
Embun jatuh di daun padi";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;11;8;10;0
"Jika hidup ingin berkah
Rajin ibadah setiap hari";"Padang pasir tempat bunga tumbuh
Bermekar dengan warna-warna indah";2;manual_pending;18;4555;Pantun agama;"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pagi hari menuju sawah
Embun jatuh di daun padi";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;11;8;10;0
"Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pohon zaitun menghasilkan buah berlimpah,
Kebajikan terus, keberkahan melimpah.";1;manual_pending;18;4555;Pantun agama;"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pagi hari menuju sawah
Embun jatuh di daun padi";Sailor2;few_shot;Hasil Few-shot;2;2;0;748293;0;13;13;8;10;2
"Jika hidup ingin berkah
Rajin ibadah setiap hari";"Bidadari tinggal di awan tinggi
Kayu lapuk di ujung pantai";2;manual_pending;18;4555;Pantun agama;"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari";"Pagi hari menuju sawah
Embun jatuh di daun padi";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;9;8;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Bintang malam tampak berkilat
Embun pagi menyejukkan tubuh";3;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;10;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Pohon besar tahan disambar
Layar terkembang menuju pelabuhan";3;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;12;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Kertas putih dilipat sekitar
Membeli kain di tengah pasar";3;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Gemini;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;10;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Kain tenun benangnya mekar
Tersusun rapi di dalam papan";4;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;10;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Berlayar jauh menuju pasar
Membawa barang hasil dagangan";3;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Nelayan pergi membawa layar
Angin berhembus sejuk di hutan";2;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;9;10;0
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Pusaka zaman dulu kala
Langit cerah hias keindahan";3;manual_pending;19;1542;Pantun agama;"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan";"Burung elang terbang melingkar
Mengawasi lembah dan hutan";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;9;10;0
"Jika hidup penuh doa
Hati tenang setiap hari";"Mengayuh sampan membawa galah
Air jernih mengalir terus";3;manual_pending;20;1706;Pantun agama;"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari";"Burung pipit terbang ke rawa
Mencari makan di antara padi";Gemini;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;9;8;9;0
"Jika hidup penuh doa
Hati tenang setiap hari";"Bunga melati mekar di desa
Wangi semerbak menyambut pagi";3;manual_pending;20;1706;Pantun agama;"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari";"Burung pipit terbang ke rawa
Mencari makan di antara padi";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;8;9;0
"Jika hidup penuh doa
Hati tenang setiap hari";"Bulan mengambang di atas desa
Ayam berkokok menyambut pagi";3;manual_pending;20;1706;Pantun agama;"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari";"Burung pipit terbang ke rawa
Mencari makan di antara padi";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;8;9;0
"Jika hidup penuh doa
Hati tenang setiap hari";"Di tengah kebun tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi";2;manual_pending;20;1706;Pantun agama;"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari";"Burung pipit terbang ke rawa
Mencari makan di antara padi";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;12;8;9;0
"Jika hidup penuh doa
Hati tenang setiap hari";"Bukit tinggi dengan pohon pinus
Kayu tinggi dikejar perahu";2;manual_pending;20;1706;Pantun agama;"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari";"Burung pipit terbang ke rawa
Mencari makan di antara padi";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;10;8;9;0
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Pohon besar tahan terbakar
Bunga mekar jadi hiasan";3;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;9;9;11;0
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Padi menguning di tengah desa
Membawa beras ke dalam bukit";2;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";Gemini;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;10;9;11;0
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Ke pasar pagi membeli kelapa
Pulang ke rumah hati pun ingin";3;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;11;10;9;11;0
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Bunga anggrek tumbuh di rimba
Angin sepoi bertiup dingin";3;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;9;9;11;0
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Gelombang laut membawa kebahagiaan
Ombak yang berderak menghampiri pantai";3;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;748293;0;14;12;9;11;2
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"Taman kecil di balik bukit
Langit cerah hias keindahan";3;manual_pending;21;5560;Pantun pendidikan;"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin";"pohon kelapa di tepi telaga
daunnya melambai tertiup angin";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;9;11;0
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Membeli kain bergaris mekar
Beli kemeja berukuran sedang";3;manual_pending;22;4434;Pantun pendidikan;"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Pagi cerah memetik mawar
Harumnya sampai ke halaman";Gemini;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;11;9;10;0
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Memetik buah di balik belukar
Jatuh satu ke dalam sampan";4;manual_pending;22;4434;Pantun pendidikan;"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Pagi cerah memetik mawar
Harumnya sampai ke halaman";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;11;9;9;10;0
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Berlayar jauh menuju pasar
Nelayan pulang membawa ikan";3;manual_pending;22;4434;Pantun pendidikan;"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Pagi cerah memetik mawar
Harumnya sampai ke halaman";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;9;10;0
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Ikan berenang di lautan besar
Bunga melati harum di taman";3;manual_pending;22;4434;Pantun pendidikan;"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Pagi cerah memetik mawar
Harumnya sampai ke halaman";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;9;10;0
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya";3;manual_pending;22;4434;Pantun pendidikan;"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan";"Pagi cerah memetik mawar
Harumnya sampai ke halaman";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;10;9;10;0
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Burung merpati terbang nyaman
Bunga melati harum mewangi";3;manual_pending;23;1637;Pantun pendidikan;"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;10;10;11;0
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Anak berjalan berbaris saman
Membawa kayu bertali mati";4;manual_pending;23;1637;Pantun pendidikan;"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;10;11;0
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Hutan rimba tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai";2;manual_pending;23;1637;Pantun pendidikan;"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;674969;0;12;15;10;11;3
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Pusaka zaman dulu kala
Bukit curam dengan pohon pinus";3;manual_pending;23;1637;Pantun pendidikan;"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati";"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;10;11;0
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Perahu retak di atas alas
Air surut di muara hilir";4;manual_pending;24;5202;Pantun pendidikan;"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pergi ke pasar membeli talas
Tak lupa membeli buah duku";Gemini;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;10;10;11;0
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pergi ke pasar membeli beras
Dibawa pulang setiap waktu";3;manual_pending;24;5202;Pantun pendidikan;"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pergi ke pasar membeli talas
Tak lupa membeli buah duku";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;10;11;0
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Laut terbentang begitu luas
Angin bertiup sepanjang waktu";3;manual_pending;24;5202;Pantun pendidikan;"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pergi ke pasar membeli talas
Tak lupa membeli buah duku";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;10;11;0
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya";3;manual_pending;24;5202;Pantun pendidikan;"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu";"Pergi ke pasar membeli talas
Tak lupa membeli buah duku";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;12;10;11;0
