isi_input_model,sampiran_generated,no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,model,setting,setting_label,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,s_judge_norm,xrasa_final
"sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","Mencuci baju lalu dibasuh
Ramai orang berjualan di pasar",59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,11,9,11,0,4,0.750000,0.875000
"lebar kepala dari badan
apakah itu coba kau terka","Burung dara terbang menuju hutan
Singgah sejenak melepas dahaga",92,1001,Pantun teka-teki,"berlayar perahu dari berandan
menuju arah selat malaka
lebar kepala dari badan
apakah itu coba kau terka","berlayar perahu dari berandan
menuju arah selat malaka",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,11,11,9,10,0,4,0.750000,0.875000
"Orang sabar dalam diam
Menunggu waktu kemenangan","Bulan bersinar di waktu malam
Anak-anak bermain di lapangan",70,1466,Pantun kehidupan dan renungan,"Burung bangau berdiri diam
Menunggu ikan di tepian
Orang sabar dalam diam
Menunggu waktu kemenangan","Burung bangau berdiri diam
Menunggu ikan di tepian",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.166667,10,11,8,9,0,4,0.750000,0.875000
"Jika rindu datang bertalu
Mengapa engkau tak beri jawaban","Angin berhembus menuju hulu
Sudah lama menanti balasan",44,1599,Pantun cinta dan kasih,"Burung kenari bersuara sendu
Di pohon ara tepi halaman
Jika rindu datang bertalu
Mengapa engkau tak beri jawaban","Burung kenari bersuara sendu
Di pohon ara tepi halaman",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,9,11,0,4,0.750000,0.875000
"Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Pohon jati tumbuh di rimba
Air jernih mengalir manis",42,1635,Pantun cinta dan kasih,"Burung merpati terbang berdua
Menyusuri awan indah berlapis
Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Burung merpati terbang berdua
Menyusuri awan indah berlapis",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,10,10,0,4,0.750000,0.875000
"Jika ingin hidup berkah
Hormati ayah dan ibu","Padi menguning di tengah sawah
Perahu kecil terbuat dari kayu",60,1710,Pantun bakti keluarga,"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu","Burung pipit terbang rendah
Hinggap manis di atas batu",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,12,8,8,0,4,0.750000,0.875000
"Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Hujan turun sudah pasti
Di puncak gunung bersemayam dewa",69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,8,11,9,10,0,4,0.750000,0.875000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Berlayar jauh ke tanah mulia
Pohon kelapa tumbuh tinggi",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,11,9,10,8,0,4,0.750000,0.875000
"Jika hidup ingin tenang
Jangan suka mencari salah","Layang-layang terbang melayang
Anak kecil bermain di sawah",8,120,Pantun nasihat dan budi pekerti,"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah","Air hujan turun ke ladang
Menyuburkan padi di sawah",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,8,9,0,4,0.750000,0.875000
"temanku ini memang cantik
sayang dia giginya ompong","Kain batik bermotif unik
Baju lama digigit tikus jadi bolong",86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong",Claude,few_shot,Hasil Few-shot,2,2,1,0.852344,0.0,9,13,9,9,1,5,1.000000,0.852344
"bermain kejarkejaran
badan sehat hati pun senang","Pergi ke taman bermain layangan
Ayam berkokok riang di kandang",99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.166667,11,10,8,9,0,1,0.000000,0.500000
"Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Burung camar terbang melayang
Pergi ke kota membeli kaca",28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,11,11,0,3,0.500000,0.750000
"bermain layanglayang bersama teman
lupa waktu hampir petang","Anak-anak berkumpul di halaman
Kambing digiring pulang ke kandang",96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,11,10,12,8,0,5,1.000000,1.000000
"Jika ingin hidup gemilang
Jangan lupa restu orang tua","Bulan purnama bersinar cemerlang
Pohon beringin sudah lama tua",57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.111111,11,11,9,10,0,1,0.000000,0.500000
"Rindu padamu kian berputar
Kasih terikat janji sejati","Roda pedati terus berputar
Kembang melati harum di hati",46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.125,10,10,10,10,0,1,0.000000,0.500000
"Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Bunga melati harum mewangi,
Ikan berenang di sungai deras",78,4854,Pantun sosial dan kerukunan,"Pergi ke desa membawa padi
Padi ditumbuk jadi beras
Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Pergi ke desa membawa padi
Padi ditumbuk jadi beras",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,10,11,0,4,0.750000,0.875000
"Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Pergi ke kebun memetik daun
Singgah sejenak mencari susu",26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.125,10,10,11,9,0,1,0.000000,0.500000
"Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Kain batik bermacam rupa
Bunga kemboja layu lalu mati",37,313,Pantun kiasan dan peribahasa,"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati
Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.166667,9,11,10,9,0,1,0.000000,0.500000
"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Pergi ke pasar membeli topi
Singgah sejenak di rumah tua",72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,10,10,0,3,0.500000,0.750000
"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Anak kecil bermain layangan
Petang hari pergi belajar",32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,10,10,0,3,0.500000,0.750000
"Jika hati selalu ramah
Banyak sahabat datang menyapa","Pergi ke kebun memetik buah
Singgah sejenak di kedai kita",52,1714,Pantun persahabatan,"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit terbang rendah
Hinggap sebentar di pohon cemara",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,9,10,0,3,0.500000,0.750000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Pergi ke taman memetik bunga
Indah mekar sepanjang hari",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,11,11,0,3,0.500000,0.750000
"Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Pergi ke ladang menanam padi
Singgah sejenak melepas dahaga",75,1347,Pantun kebangsaan,"Bunga kenanga mekar berseri
Harumnya halus menawan rasa
Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Bunga kenanga mekar berseri
Harumnya halus menawan rasa",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,11,10,11,0,3,0.500000,0.750000
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Ikan gurame dijual di pasar
Dimasak enak dengan bumbu cuka",10,3176,Pantun nasihat dan budi pekerti,"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Ke kebun bunga memetik mawar
Mawar merah harum baunya",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,11,11,11,11,0,4,0.750000,0.875000
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","Pergi ke ladang membawa alat
Bekerja keras sepanjang waktu",17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,12,10,0,3,0.500000,0.750000
"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar pagi membeli kaca
Jangan gentar jadilah berani",38,3270,Pantun kiasan dan peribahasa,"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,9,10,0,2,0.250000,0.625000
"Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Kalau berjalan menuju hutan
Hidup sederhana di desa",50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,10,11,0,3,0.500000,0.750000
"sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","Pohon rendang tempat berteduh
Angin bertiup dari seberang pasar",59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,12,9,11,0,4,0.750000,0.875000
"Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pergi ke kota naik kereta
Singgah sebentar mencari kabar",4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,10,8,0,3,0.500000,0.750000
"Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Ke tepi kolam hati pun senang
Angin sepoi menyejukkan udara",28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,11,11,11,0,4,0.750000,0.875000
"semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","Burung camar terbang melayang,
Singgah dahulu di tepi jalan",84,4791,Pantun perpisahan dan perantauan,"pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan
semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,10,12,0,4,0.750000,0.875000
"begini nasib jadi pedagang
kadang untung kadang rugi","Pergi ke pasar menjual pisang
Berjalan kaki menempuh sepi",66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,10,8,0,5,1.000000,1.000000
"bermain layanglayang bersama teman
lupa waktu hampir petang","Pergi memancing bersama kawan,
Balik ke rumah langit pun terang",96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.125,10,10,12,8,0,3,0.500000,0.750000
"bermain kejarkejaran
badan sehat hati pun senang","Anak-anak bermain di halaman,
Tertawa riang sepanjang petang",99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.166667,11,10,8,9,0,1,0.000000,0.500000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Bunga mawar mekar di taman kota
Kupu-kupu terbang menari-nari",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,11,11,10,8,0,4,0.750000,0.875000
"Jika hidup ingin berkah
Rajin ibadah setiap hari","Ke pasar pagi membeli buah
Dibawa pulang sambil berlari",18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,8,10,0,3,0.500000,0.750000
"Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Anak kecil bermain di halaman,
Kupu-kupu terbang tinggi",79,1697,Pantun sosial dan kerukunan,"Burung pipit hinggap di dahan
Bersiul riang di pagi hari
Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Burung pipit hinggap di dahan
Bersiul riang di pagi hari",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,11,8,12,9,0,3,0.500000,0.750000
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung pipit terbang ke hutan
Hinggap sejenak menyambut pagi",23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,10,11,0,4,0.750000,0.875000
"baru seminggu kita berpisah
rindu di hati telah membara","Pergi ke pasar membeli buah,
Duduk termenung bercerita",81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja",Claude,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,10,10,0,3,0.500000,0.750000
"kalau hidup hendak selamat
ayah dan bunda kita muliakan","Ayah bunda yang selalu sayang
Kita hormati dengan sepenuh jiwa",61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.285714,10,12,9,11,0,1,0.000000,0.000000
"Jika ingin hidup gemilang
Jangan lupa restu orang tua","Ibu bapak yang memberi nian
Restu mereka akan kita jaga",57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.111111,10,11,9,10,0,1,0.000000,0.000000
"berpisah jauh bercerai badan
sahabat handai tetap kuingat","Sahabat baik seperti bukit yang kokoh
Cerai badan takkan abai keingatan",85,6374,Pantun perpisahan dan perantauan,"tanjung sauh di pulau bintan
tempat berlabuh orang penyengat
berpisah jauh bercerai badan
sahabat handai tetap kuingat","tanjung sauh di pulau bintan
tempat berlabuh orang penyengat",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.852344,0.25,13,12,10,10,1,1,0.000000,0.000000
"Jika hidup ingin berisi budi
Hormati janji dan ucapan","Kayu tinggi dihela perahu
Bulan tinggi di langit malam",5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,10,9,11,9,0,2,0.250000,0.125000
"nenek murung jadi tertawa
melihat kakek main kelereng","Kakek sibuk menggaruk tanah
Nenek tertawa mendengar mainan kelereng",87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.852344,0.571429,9,13,9,10,1,1,0.000000,0.000000
"dusta itu bagaikan riak
membuat hati gundah gulana","Kebenaran yang murni seperti
Permukaan air yang tenang dan jernih",39,5861,Pantun kiasan dan peribahasa,"sampan perahu mengejar kayak
dari hulu tak kenakena
dusta itu bagaikan riak
membuat hati gundah gulana","sampan perahu mengejar kayak
dari hulu tak kenakena",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,10,12,9,10,0,1,0.000000,0.000000
"Jika hati bersih nurani
Hidup indah penuh rasa","Hati yang suci dan bersih nian
Mencerminkan kebijaksanaan tinggi",64,1377,Pantun kehidupan dan renungan,"Bunga mawar merah berduri
Cantik mekar di taman desa
Jika hati bersih nurani
Hidup indah penuh rasa","Bunga mawar merah berduri
Cantik mekar di taman desa",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.25,10,12,9,8,0,1,0.000000,0.000000
"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Jujur dan amanah di atas segalanya
Bangsa kita akan kuat dan besar",72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.852344,0.25,13,11,10,10,1,1,0.000000,0.000000
"Rindu padamu kian berputar
Kasih terikat janji sejati","Kekaguman terhadap seseorang
Ditopang oleh janji-janji setia",46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,12,10,10,0,1,0.000000,0.000000
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu","Bidadari tinggal di awan tinggi
Hutan rimbun di balik bukit",24,5202,Pantun pendidikan,"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu","Pergi ke pasar membeli talas
Tak lupa membeli buah duku",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,9,10,11,0,2,0.250000,0.125000
"Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Cinta dan kasih sayang perlu dijaga
Agar kebahagiaan tetap abadi terasa",42,1635,Pantun cinta dan kasih,"Burung merpati terbang berdua
Menyusuri awan indah berlapis
Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis","Burung merpati terbang berdua
Menyusuri awan indah berlapis",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.623298,0.444444,12,16,10,10,4,1,0.000000,0.000000
"bermain kejarkejaran
badan sehat hati pun senang","Permainan yang kudalami malam
Hanya kejar-kejaran di tanah lapang",99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.166667,10,12,8,9,0,1,0.000000,0.000000
"Jika ingin hidup mulia
Jujur selalu dalam hati","Pusaka zaman dulu kala
Bukit tinggi masih diingat",11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,9,9,9,9,0,2,0.250000,0.125000
"Jika ingin hidup berkah
Hormati ayah dan ibu","Hidup dengan budi dan amal
Membawa kebahagiaan dunia",60,1710,Pantun bakti keluarga,"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu","Burung pipit terbang rendah
Hinggap manis di atas batu",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.142857,9,12,8,8,0,1,0.000000,0.000000
"Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Pegunungan tinggi menyembul awan
Hati dan lisan dijaga dari duka",79,1697,Pantun sosial dan kerukunan,"Burung pipit hinggap di dahan
Bersiul riang di pagi hari
Jika ingin hidup penuh kedamaian
Jagalah lisan serta hati","Burung pipit hinggap di dahan
Bersiul riang di pagi hari",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.222222,11,12,12,9,0,1,0.000000,0.000000
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Hutan belantara di balik bukit
Langit jernih awan putih",22,4434,Pantun pendidikan,"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Pagi cerah memetik mawar
Harumnya sampai ke halaman",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,8,9,10,0,2,0.250000,0.125000
"Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama","Langit biru memandu senja
Budi peksa menaburkan bunga",77,1606,Pantun sosial dan kerukunan,"Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara
Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama","Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,9,10,11,11,0,2,0.250000,0.125000
"ketika ditanya semuanya diam
karena kentut tak berbunyi","Ruang kelas sunyi saat guru bicara
Diam semua karena bisik tak berisik",88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.674969,0.285714,13,14,12,9,3,1,0.000000,0.000000
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Bidadari tinggal di awan
Singa tinggi di sela gunung",7,5357,Pantun nasihat dan budi pekerti,"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,9,9,10,12,0,2,0.250000,0.125000
"Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Hidup ini tidak sendiri nian
Bagi diri sendiri dan sesama",54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,1,1.0,0.142857,11,11,9,11,0,1,0.000000,0.500000
"cobalah terka pantunku ini
akar di atas pucuk di bawah","Dunia maya menarik perhatian
Sayangnya gigi ompong sering bolong",91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,12,11,10,10,0,2,0.250000,0.125000
"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Menjunjung tinggi amanah dan kejujuran
Bangsa kita akan selalu dihormati",74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.748293,0.285714,13,13,10,10,2,1,0.000000,0.000000
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Sungai jernih mengalir perlahan
Pohon besar menembus awan tinggi",3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,10,11,9,11,0,2,0.250000,0.125000
