no,id_data_asli,model,setting,bertscore_p,bertscore_r,bertscore_f1
27,1636,Chat-GPT,zero_shot,0.7065476179122925,0.7237176895141602,0.7150296568870544
27,1636,Chat-GPT,few_shot,0.666680097579956,0.6832947731018066,0.6748851537704468
27,1636,Gemini,zero_shot,0.7286628484725952,0.7297042608261108,0.7291831374168396
27,1636,Gemini,few_shot,0.7325061559677124,0.7301470637321472,0.7313247919082642
27,1636,Claude,zero_shot,0.6599065065383911,0.675195038318634,0.6674632430076599
27,1636,Claude,few_shot,0.6981154084205627,0.7084042429924011,0.7032221555709839
27,1636,Llama 3.1: 8B,zero_shot,0.671445369720459,0.681506335735321,0.6764383912086487
27,1636,Llama 3.1: 8B,few_shot,0.6707900166511536,0.6821912527084351,0.676442563533783
27,1636,Sailor2,zero_shot,0.6961424946784973,0.7062802314758301,0.7011747360229492
27,1636,Sailor2,few_shot,0.6797446012496948,0.7081406116485596,0.6936520934104919
27,1636,DeepSeek-R1,zero_shot,0.7043014764785767,0.7008833289146423,0.7025882601737976
27,1636,DeepSeek-R1,few_shot,0.6819333434104919,0.6845839023590088,0.6832560300827026
28,6142,Chat-GPT,zero_shot,0.7095824480056763,0.7077500820159912,0.7086650729179382
28,6142,Chat-GPT,few_shot,0.6934508085250854,0.704902172088623,0.699129581451416
28,6142,Gemini,zero_shot,0.716300904750824,0.7122504711151123,0.7142699360847473
28,6142,Gemini,few_shot,0.6861275434494019,0.6773346066474915,0.6817026734352112
28,6142,Claude,zero_shot,0.6549917459487915,0.6622406840324402,0.6585963368415833
28,6142,Claude,few_shot,0.6931747198104858,0.6858707666397095,0.6895034313201904
28,6142,Llama 3.1: 8B,zero_shot,0.6614786386489868,0.6598631143569946,0.6606698632240295
28,6142,Llama 3.1: 8B,few_shot,0.6955556869506836,0.6967946290969849,0.6961746215820312
28,6142,Sailor2,zero_shot,0.6954193711280823,0.6960519552230835,0.6957354545593262
28,6142,Sailor2,few_shot,0.6885453462600708,0.6785918474197388,0.6835323572158813
28,6142,DeepSeek-R1,zero_shot,0.6547422409057617,0.6394612789154053,0.6470115184783936
28,6142,DeepSeek-R1,few_shot,0.6686672568321228,0.6806254386901855,0.6745933294296265
29,6149,Chat-GPT,zero_shot,0.6070338487625122,0.6072721481323242,0.6071529984474182
29,6149,Chat-GPT,few_shot,0.6694863438606262,0.6651947498321533,0.667333722114563
29,6149,Gemini,zero_shot,0.6991023421287537,0.6974875926971436,0.6982939839363098
29,6149,Gemini,few_shot,0.6823592782020569,0.6666159629821777,0.6743957996368408
29,6149,Claude,zero_shot,0.6687641143798828,0.6584320664405823,0.6635579466819763
29,6149,Claude,few_shot,0.6388024091720581,0.6324502229690552,0.6356104016304016
29,6149,Llama 3.1: 8B,zero_shot,0.667210578918457,0.6607269048690796,0.6639528870582581
29,6149,Llama 3.1: 8B,few_shot,0.6776471138000488,0.6691055297851562,0.6733492016792297
29,6149,Sailor2,zero_shot,0.6649800539016724,0.6606671810150146,0.66281658411026
29,6149,Sailor2,few_shot,0.6572026014328003,0.658057689666748,0.6576299071311951
29,6149,DeepSeek-R1,zero_shot,0.6694191694259644,0.6595079898834229,0.6644266247749329
29,6149,DeepSeek-R1,few_shot,0.6565139293670654,0.6590454578399658,0.6577772498130798
30,3695,Chat-GPT,zero_shot,0.69992595911026,0.6746019721031189,0.6870306730270386
30,3695,Chat-GPT,few_shot,0.7187968492507935,0.7084261178970337,0.7135738134384155
30,3695,Gemini,zero_shot,0.702653169631958,0.6951147317886353,0.6988636255264282
30,3695,Gemini,few_shot,0.7077736854553223,0.7200886607170105,0.7138780951499939
30,3695,Claude,zero_shot,0.6716242432594299,0.6525610089302063,0.6619554162025452
30,3695,Claude,few_shot,0.6618843078613281,0.6395331621170044,0.6505168080329895
30,3695,Llama 3.1: 8B,zero_shot,0.6573934555053711,0.6355210542678833,0.6462722420692444
30,3695,Llama 3.1: 8B,few_shot,0.6529645919799805,0.6580072045326233,0.6554762125015259
30,3695,Sailor2,zero_shot,0.6303130984306335,0.6265950202941895,0.6284485459327698
30,3695,Sailor2,few_shot,0.6196366548538208,0.5888861417770386,0.603870153427124
30,3695,DeepSeek-R1,zero_shot,0.614555835723877,0.5827187299728394,0.5982139706611633
30,3695,DeepSeek-R1,few_shot,0.6582354307174683,0.632276177406311,0.6449946761131287
31,1743,Chat-GPT,zero_shot,0.7060565948486328,0.6962172985076904,0.7011024355888367
31,1743,Chat-GPT,few_shot,0.702041745185852,0.6831061244010925,0.6924445629119873
31,1743,Gemini,zero_shot,0.7280832529067993,0.7088173627853394,0.7183211445808411
31,1743,Gemini,few_shot,0.7306066751480103,0.7279181480407715,0.7292599081993103
31,1743,Claude,zero_shot,0.6966568231582642,0.6934902667999268,0.6950699687004089
31,1743,Claude,few_shot,0.7217229604721069,0.7000989317893982,0.7107465267181396
31,1743,Llama 3.1: 8B,zero_shot,0.6849514245986938,0.6609057188034058,0.6727137565612793
31,1743,Llama 3.1: 8B,few_shot,0.6840037703514099,0.6695992350578308,0.6767248511314392
31,1743,Sailor2,zero_shot,0.7004438042640686,0.709086537361145,0.7047386765480042
31,1743,Sailor2,few_shot,0.6851357221603394,0.6706172227859497,0.6777987480163574
31,1743,DeepSeek-R1,zero_shot,0.673859715461731,0.6438731551170349,0.658525288105011
31,1743,DeepSeek-R1,few_shot,0.6700823307037354,0.6697798371315002,0.6699310541152954
32,1931,Chat-GPT,zero_shot,0.7139055132865906,0.704123854637146,0.7089809775352478
32,1931,Chat-GPT,few_shot,0.7199174165725708,0.7132054567337036,0.7165457010269165
32,1931,Gemini,zero_shot,0.7191565036773682,0.7178757190704346,0.7185155153274536
32,1931,Gemini,few_shot,0.7069271802902222,0.707733690738678,0.7073302268981934
32,1931,Claude,zero_shot,0.7063537836074829,0.6719891428947449,0.6887431144714355
32,1931,Claude,few_shot,0.7430516481399536,0.742273211479187,0.742662250995636
32,1931,Llama 3.1: 8B,zero_shot,0.6692427396774292,0.6769683361053467,0.6730833649635315
32,1931,Llama 3.1: 8B,few_shot,0.7066431045532227,0.6906403303146362,0.6985500454902649
32,1931,Sailor2,zero_shot,0.6679291725158691,0.6709835529327393,0.6694529056549072
32,1931,Sailor2,few_shot,0.6790738105773926,0.6634129881858826,0.6711520552635193
32,1931,DeepSeek-R1,zero_shot,0.6892865896224976,0.6700955629348755,0.6795556545257568
32,1931,DeepSeek-R1,few_shot,0.6701602935791016,0.66697096824646,0.6685618162155151
33,4327,Chat-GPT,zero_shot,0.7134010791778564,0.7047589421272278,0.7090536952018738
33,4327,Chat-GPT,few_shot,0.7162641286849976,0.7048331499099731,0.7105026245117188
33,4327,Gemini,zero_shot,0.7238928079605103,0.7357938289642334,0.7297948002815247
33,4327,Gemini,few_shot,0.6480069160461426,0.6607810258865356,0.654331624507904
33,4327,Claude,zero_shot,0.7293282151222229,0.7308610081672668,0.730093777179718
33,4327,Claude,few_shot,0.7456283569335938,0.7345366477966309,0.7400409579277039
33,4327,Llama 3.1: 8B,zero_shot,0.6505224704742432,0.6634871959686279,0.6569408774375916
33,4327,Llama 3.1: 8B,few_shot,0.6491380929946899,0.6428236961364746,0.6459654569625854
33,4327,Sailor2,zero_shot,0.6594464778900146,0.6545451879501343,0.6569867134094238
33,4327,Sailor2,few_shot,0.6597622632980347,0.663598895072937,0.6616750359535217
33,4327,DeepSeek-R1,zero_shot,0.6437880992889404,0.638207197189331,0.6409854888916016
33,4327,DeepSeek-R1,few_shot,0.650253415107727,0.6617783904075623,0.6559653282165527
34,2139,Chat-GPT,zero_shot,0.7032804489135742,0.6950037479400635,0.6991176009178162
34,2139,Chat-GPT,few_shot,0.6950103044509888,0.6936124563217163,0.6943106651306152
34,2139,Gemini,zero_shot,0.7309471368789673,0.6980206966400146,0.7141045928001404
34,2139,Gemini,few_shot,0.684938371181488,0.6764655113220215,0.6806755661964417
34,2139,Claude,zero_shot,0.6773374080657959,0.6585898399353027,0.66783207654953
34,2139,Claude,few_shot,0.705051064491272,0.6993306875228882,0.7021791934967041
34,2139,Llama 3.1: 8B,zero_shot,0.6997331380844116,0.6880097389221191,0.693821907043457
34,2139,Llama 3.1: 8B,few_shot,0.705738365650177,0.6920465230941772,0.6988253593444824
34,2139,Sailor2,zero_shot,0.647531270980835,0.6545053720474243,0.6509996056556702
34,2139,Sailor2,few_shot,0.6731014847755432,0.6532490253448486,0.663026750087738
34,2139,DeepSeek-R1,zero_shot,0.669090986251831,0.6471365690231323,0.6579306721687317
34,2139,DeepSeek-R1,few_shot,0.6440438032150269,0.6387194395065308,0.6413705945014954
35,2330,Chat-GPT,zero_shot,0.6613318920135498,0.6509446501731873,0.6560971140861511
35,2330,Chat-GPT,few_shot,0.6916429996490479,0.6781987547874451,0.6848548650741577
35,2330,Gemini,zero_shot,0.684776782989502,0.6782306432723999,0.6814879775047302
35,2330,Gemini,few_shot,0.6476837396621704,0.6166707873344421,0.6317969560623169
35,2330,Claude,zero_shot,0.6748530864715576,0.656768798828125,0.665688157081604
35,2330,Claude,few_shot,0.6978578567504883,0.6798797249794006,0.6887515187263489
35,2330,Llama 3.1: 8B,zero_shot,0.6264551281929016,0.6230098009109497,0.624727725982666
35,2330,Llama 3.1: 8B,few_shot,0.6370187401771545,0.6129225492477417,0.624738335609436
35,2330,Sailor2,zero_shot,0.6267310380935669,0.6147146821022034,0.620664656162262
35,2330,Sailor2,few_shot,0.6359093189239502,0.6099717617034912,0.6226705312728882
35,2330,DeepSeek-R1,zero_shot,0.6277241706848145,0.6020150184631348,0.6146008372306824
35,2330,DeepSeek-R1,few_shot,0.6322859525680542,0.6172007322311401,0.6246522665023804
36,5563,Chat-GPT,zero_shot,0.5926139950752258,0.5945307016372681,0.5935707688331604
36,5563,Chat-GPT,few_shot,0.6044871807098389,0.5874718427658081,0.5958580374717712
36,5563,Gemini,zero_shot,0.6462436318397522,0.6604276299476624,0.6532586216926575
36,5563,Gemini,few_shot,0.6774343252182007,0.6692789793014526,0.6733319759368896
36,5563,Claude,zero_shot,0.6565289497375488,0.6628223657608032,0.6596606373786926
36,5563,Claude,few_shot,0.7125285863876343,0.7255561351776123,0.7189834117889404
36,5563,Llama 3.1: 8B,zero_shot,0.659902811050415,0.664321780204773,0.6621049046516418
36,5563,Llama 3.1: 8B,few_shot,0.6662591099739075,0.671816349029541,0.6690261960029602
36,5563,Sailor2,zero_shot,0.6635127067565918,0.6725183725357056,0.667985200881958
36,5563,Sailor2,few_shot,0.644738495349884,0.6521337032318115,0.6484150290489197
36,5563,DeepSeek-R1,zero_shot,0.6731558442115784,0.6637074947357178,0.6683983206748962
36,5563,DeepSeek-R1,few_shot,0.6555398106575012,0.6534364819526672,0.6544864773750305
37,313,Chat-GPT,zero_shot,0.6491420269012451,0.6492968201637268,0.6492194533348083
37,313,Chat-GPT,few_shot,0.6885877251625061,0.679344892501831,0.6839351058006287
37,313,Gemini,zero_shot,0.6904101371765137,0.7051278352737427,0.6976913809776306
37,313,Gemini,few_shot,0.6740866303443909,0.6711671352386475,0.6726237535476685
37,313,Claude,zero_shot,0.6650742888450623,0.6679991483688354,0.6665335297584534
37,313,Claude,few_shot,0.6852574944496155,0.7008171081542969,0.6929500102996826
37,313,Llama 3.1: 8B,zero_shot,0.6329389214515686,0.6447195410728455,0.6387749314308167
37,313,Llama 3.1: 8B,few_shot,0.6605780124664307,0.6534752249717712,0.6570073962211609
37,313,Sailor2,zero_shot,0.6571439504623413,0.6637154221534729,0.6604133248329163
37,313,Sailor2,few_shot,0.6638997793197632,0.66263747215271,0.6632680296897888
37,313,DeepSeek-R1,zero_shot,0.6808637976646423,0.6698436737060547,0.6753087639808655
37,313,DeepSeek-R1,few_shot,0.6562174558639526,0.6359211206436157,0.6459099054336548
38,3270,Chat-GPT,zero_shot,0.6874544620513916,0.6930806636810303,0.6902560591697693
38,3270,Chat-GPT,few_shot,0.5721981525421143,0.5803513526916504,0.5762459635734558
38,3270,Gemini,zero_shot,0.6197332143783569,0.6083629727363586,0.6139954328536987
38,3270,Gemini,few_shot,0.6103174686431885,0.6221822500228882,0.6161927580833435
38,3270,Claude,zero_shot,0.7398329973220825,0.7220567464828491,0.7308367490768433
38,3270,Claude,few_shot,0.7426745891571045,0.7117116451263428,0.7268635630607605
38,3270,Llama 3.1: 8B,zero_shot,0.586458146572113,0.5789451003074646,0.58267742395401
38,3270,Llama 3.1: 8B,few_shot,0.6293686032295227,0.6254677176475525,0.6274121403694153
38,3270,Sailor2,zero_shot,0.6133980751037598,0.6160767674446106,0.6147345304489136
38,3270,Sailor2,few_shot,0.6080018281936646,0.6103520393371582,0.6091746687889099
38,3270,DeepSeek-R1,zero_shot,0.619257926940918,0.6189721822738647,0.6191150546073914
38,3270,DeepSeek-R1,few_shot,0.6208318471908569,0.625379741191864,0.6230975389480591
39,5861,Chat-GPT,zero_shot,0.6999358534812927,0.6918969750404358,0.6958932280540466
39,5861,Chat-GPT,few_shot,0.7056525349617004,0.7100207209587097,0.7078298926353455
39,5861,Gemini,zero_shot,0.7239435911178589,0.7226211428642273,0.7232818603515625
39,5861,Gemini,few_shot,0.660224437713623,0.6560534834861755,0.6581323146820068
39,5861,Claude,zero_shot,0.6806874871253967,0.6867883801460266,0.6837243437767029
39,5861,Claude,few_shot,0.6537646055221558,0.658279299736023,0.6560142040252686
39,5861,Llama 3.1: 8B,zero_shot,0.672753095626831,0.6812440156936646,0.6769719123840332
39,5861,Llama 3.1: 8B,few_shot,0.6562589406967163,0.6540188193321228,0.6551370024681091
39,5861,Sailor2,zero_shot,0.6311353445053101,0.6476936340332031,0.6393072605133057
39,5861,Sailor2,few_shot,0.686271071434021,0.6703290939331055,0.6782063841819763
39,5861,DeepSeek-R1,zero_shot,0.6860265731811523,0.6707058548927307,0.6782797574996948
39,5861,DeepSeek-R1,few_shot,0.673078179359436,0.680647611618042,0.6768417358398438
40,6548,Chat-GPT,zero_shot,0.6770886182785034,0.673639178276062,0.6753594875335693
40,6548,Chat-GPT,few_shot,0.68202143907547,0.6801460981369019,0.6810824275016785
40,6548,Gemini,zero_shot,0.6771726608276367,0.6824946999549866,0.6798232793807983
40,6548,Gemini,few_shot,0.6872107982635498,0.6774523258209229,0.6822966933250427
40,6548,Claude,zero_shot,0.6570359468460083,0.6985452175140381,0.677155077457428
40,6548,Claude,few_shot,0.7346558570861816,0.7484617233276367,0.7414945363998413
40,6548,Llama 3.1: 8B,zero_shot,0.6382724046707153,0.6340660452842712,0.6361623406410217
40,6548,Llama 3.1: 8B,few_shot,0.6850599646568298,0.6722723245620728,0.6786059141159058
40,6548,Sailor2,zero_shot,0.6620002388954163,0.655337929725647,0.6586521863937378
40,6548,Sailor2,few_shot,0.6438413858413696,0.6434280276298523,0.6436346769332886
40,6548,DeepSeek-R1,zero_shot,0.638953447341919,0.6407656073570251,0.6398581862449646
40,6548,DeepSeek-R1,few_shot,0.6780520677566528,0.6669921875,0.6724766492843628
41,6406,Chat-GPT,zero_shot,0.6543342471122742,0.6365498304367065,0.6453195810317993
41,6406,Chat-GPT,few_shot,0.6796618700027466,0.6615833044052124,0.6705007553100586
41,6406,Gemini,zero_shot,0.7690310478210449,0.744381308555603,0.7565054893493652
41,6406,Gemini,few_shot,0.6571060419082642,0.6574897766113281,0.6572978496551514
41,6406,Claude,zero_shot,0.6889762878417969,0.6904013156890869,0.6896880269050598
41,6406,Claude,few_shot,0.7522817850112915,0.7052048444747925,0.7279829978942871
41,6406,Llama 3.1: 8B,zero_shot,0.663124680519104,0.658157467842102,0.6606317758560181
41,6406,Llama 3.1: 8B,few_shot,0.6789073944091797,0.6700344681739807,0.6744417548179626
41,6406,Sailor2,zero_shot,0.6607122421264648,0.6679469347000122,0.6643099188804626
41,6406,Sailor2,few_shot,0.6850671768188477,0.6914966702461243,0.688266932964325
41,6406,DeepSeek-R1,zero_shot,0.649301290512085,0.6229637265205383,0.6358599066734314
41,6406,DeepSeek-R1,few_shot,0.681513249874115,0.6610848307609558,0.671143651008606
42,1635,Chat-GPT,zero_shot,0.7268942594528198,0.711714506149292,0.7192243337631226
42,1635,Chat-GPT,few_shot,0.7312555313110352,0.710026741027832,0.7204847931861877
42,1635,Gemini,zero_shot,0.6966754198074341,0.6850674152374268,0.6908226609230042
42,1635,Gemini,few_shot,0.6514980792999268,0.6303728818893433,0.6407614350318909
42,1635,Claude,zero_shot,0.6670861840248108,0.661512017250061,0.6642873883247375
42,1635,Claude,few_shot,0.7128607630729675,0.6967493891716003,0.704712986946106
42,1635,Llama 3.1: 8B,zero_shot,0.6524983048439026,0.6543549299240112,0.6534252762794495
42,1635,Llama 3.1: 8B,few_shot,0.6439757347106934,0.6338841915130615,0.6388901472091675
42,1635,Sailor2,zero_shot,0.626046895980835,0.6308557391166687,0.6284420490264893
42,1635,Sailor2,few_shot,0.6970511674880981,0.6859686374664307,0.6914654970169067
42,1635,DeepSeek-R1,zero_shot,0.6842492818832397,0.6588228940963745,0.6712954044342041
42,1635,DeepSeek-R1,few_shot,0.6523168683052063,0.6600651741027832,0.6561681628227234
43,1414,Chat-GPT,zero_shot,0.7230492234230042,0.6998004913330078,0.711234986782074
43,1414,Chat-GPT,few_shot,0.6811410784721375,0.6619848012924194,0.6714263558387756
43,1414,Gemini,zero_shot,0.6855525970458984,0.6695712804794312,0.6774677038192749
43,1414,Gemini,few_shot,0.6883118748664856,0.6645722389221191,0.6762337684631348
43,1414,Claude,zero_shot,0.6646693348884583,0.6695427298545837,0.6670971512794495
43,1414,Claude,few_shot,0.7070034742355347,0.7068110704421997,0.7069072723388672
43,1414,Llama 3.1: 8B,zero_shot,0.6180211305618286,0.6306732892990112,0.6242830753326416
43,1414,Llama 3.1: 8B,few_shot,0.6759907007217407,0.6627252101898193,0.6692922115325928
43,1414,Sailor2,zero_shot,0.657333254814148,0.65326327085495,0.6552919745445251
43,1414,Sailor2,few_shot,0.6618362069129944,0.6557189226150513,0.6587633490562439
43,1414,DeepSeek-R1,zero_shot,0.6579993963241577,0.6564451456069946,0.6572213172912598
43,1414,DeepSeek-R1,few_shot,0.6597044467926025,0.6492848992347717,0.6544532179832458
44,1599,Chat-GPT,zero_shot,0.7229992151260376,0.7326464653015137,0.727790892124176
44,1599,Chat-GPT,few_shot,0.7406830787658691,0.751765787601471,0.7461833357810974
44,1599,Gemini,zero_shot,0.7055261135101318,0.7196808457374573,0.712533175945282
44,1599,Gemini,few_shot,0.6820953488349915,0.7030987739562988,0.6924378275871277
44,1599,Claude,zero_shot,0.7127792835235596,0.7050941586494446,0.7089159488677979
44,1599,Claude,few_shot,0.7249976396560669,0.7240716814994812,0.7245343923568726
44,1599,Llama 3.1: 8B,zero_shot,0.5912041664123535,0.6210043430328369,0.6057379841804504
44,1599,Llama 3.1: 8B,few_shot,0.6777194738388062,0.6971420049667358,0.687293529510498
44,1599,Sailor2,zero_shot,0.6537497639656067,0.6831328868865967,0.6681184768676758
44,1599,Sailor2,few_shot,0.6615501642227173,0.6481068134307861,0.6547594666481018
44,1599,DeepSeek-R1,zero_shot,0.620102047920227,0.6136047840118408,0.6168363094329834
44,1599,DeepSeek-R1,few_shot,0.6871980428695679,0.6935058832168579,0.6903375387191772
45,1660,Chat-GPT,zero_shot,0.6990581154823303,0.6894326210021973,0.694212019443512
45,1660,Chat-GPT,few_shot,0.7054733037948608,0.6978408098220825,0.7016362547874451
45,1660,Gemini,zero_shot,0.7225148677825928,0.7092117667198181,0.7158015370368958
45,1660,Gemini,few_shot,0.7148231863975525,0.7006331086158752,0.7076570391654968
45,1660,Claude,zero_shot,0.715034008026123,0.6981011629104614,0.7064661383628845
45,1660,Claude,few_shot,0.727988600730896,0.7300373315811157,0.7290115356445312
45,1660,Llama 3.1: 8B,zero_shot,0.6447618007659912,0.6810075640678406,0.6623891592025757
45,1660,Llama 3.1: 8B,few_shot,0.7012066841125488,0.6914446353912354,0.696291446685791
45,1660,Sailor2,zero_shot,0.6704227924346924,0.6867641806602478,0.6784951090812683
45,1660,Sailor2,few_shot,0.6926425099372864,0.7019760012626648,0.6972780227661133
45,1660,DeepSeek-R1,zero_shot,0.6879906058311462,0.6883718967437744,0.6881811618804932
45,1660,DeepSeek-R1,few_shot,0.6865416765213013,0.678398072719574,0.6824455857276917
46,3362,Chat-GPT,zero_shot,0.6810770630836487,0.6793773174285889,0.6802261471748352
46,3362,Chat-GPT,few_shot,0.6877226233482361,0.6801172494888306,0.6838988065719604
46,3362,Gemini,zero_shot,0.6631098985671997,0.6655901670455933,0.6643477082252502
46,3362,Gemini,few_shot,0.6392849683761597,0.6242579221725464,0.6316820979118347
46,3362,Claude,zero_shot,0.7360435724258423,0.7282557487487793,0.7321289777755737
46,3362,Claude,few_shot,0.6882007122039795,0.6802471876144409,0.6842008233070374
46,3362,Llama 3.1: 8B,zero_shot,0.661808967590332,0.6713992357254028,0.6665695905685425
46,3362,Llama 3.1: 8B,few_shot,0.7052942514419556,0.6980700492858887,0.7016635537147522
46,3362,Sailor2,zero_shot,0.6801013946533203,0.6817253828048706,0.680912435054779
46,3362,Sailor2,few_shot,0.6796861886978149,0.6661121845245361,0.6728307604789734
46,3362,DeepSeek-R1,zero_shot,0.6242952346801758,0.6082360744476318,0.6161609888076782
46,3362,DeepSeek-R1,few_shot,0.5943671464920044,0.5990524888038635,0.5967005491256714
47,4689,Chat-GPT,zero_shot,0.6734898686408997,0.6885911226272583,0.6809567809104919
47,4689,Chat-GPT,few_shot,0.6580305099487305,0.668757438659668,0.6633505821228027
47,4689,Gemini,zero_shot,0.6764037609100342,0.675248384475708,0.6758255958557129
47,4689,Gemini,few_shot,0.6526145935058594,0.6358771324157715,0.6441371440887451
47,4689,Claude,zero_shot,0.6497697234153748,0.6371289491653442,0.6433872580528259
47,4689,Claude,few_shot,0.6675882935523987,0.6580702066421509,0.6627950668334961
47,4689,Llama 3.1: 8B,zero_shot,0.5980584621429443,0.625032365322113,0.6112478971481323
47,4689,Llama 3.1: 8B,few_shot,0.6830004453659058,0.7028625011444092,0.6927891373634338
47,4689,Sailor2,zero_shot,0.6529151201248169,0.6779477000236511,0.6651960015296936
47,4689,Sailor2,few_shot,0.6296208500862122,0.624443531036377,0.6270215511322021
47,4689,DeepSeek-R1,zero_shot,0.6381680965423584,0.611923336982727,0.6247702240943909
47,4689,DeepSeek-R1,few_shot,0.6073153018951416,0.6243630647659302,0.6157211661338806
48,1170,Chat-GPT,zero_shot,0.7157114744186401,0.731456995010376,0.7234985828399658
48,1170,Chat-GPT,few_shot,0.7282452583312988,0.7217941284179688,0.7250053882598877
48,1170,Gemini,zero_shot,0.7185350656509399,0.722538411617279,0.7205312252044678
48,1170,Gemini,few_shot,0.6691780090332031,0.652497410774231,0.6607324481010437
48,1170,Claude,zero_shot,0.7416161298751831,0.7222712635993958,0.7318158745765686
48,1170,Claude,few_shot,0.6599530577659607,0.6468297839164734,0.6533254981040955
48,1170,Llama 3.1: 8B,zero_shot,0.6728696823120117,0.6711608171463013,0.6720141768455505
48,1170,Llama 3.1: 8B,few_shot,0.7457902431488037,0.7564644813537598,0.7510893940925598
48,1170,Sailor2,zero_shot,0.7026807069778442,0.7272539138793945,0.7147561311721802
48,1170,Sailor2,few_shot,0.6761098504066467,0.6706923842430115,0.6733902096748352
48,1170,DeepSeek-R1,zero_shot,0.6331315040588379,0.6194840669631958,0.6262333989143372
48,1170,DeepSeek-R1,few_shot,0.7090972661972046,0.6740832328796387,0.6911470890045166
49,4346,Chat-GPT,zero_shot,0.6904985308647156,0.6897109746932983,0.6901045441627502
49,4346,Chat-GPT,few_shot,0.7117220759391785,0.7179899215698242,0.7148422002792358
49,4346,Gemini,zero_shot,0.6855329871177673,0.6915387511253357,0.6885228157043457
49,4346,Gemini,few_shot,0.6741455793380737,0.6704773902893066,0.672306478023529
49,4346,Claude,zero_shot,0.7075906991958618,0.7089962959289551,0.7082927823066711
49,4346,Claude,few_shot,0.731637716293335,0.7385376691818237,0.7350715398788452
49,4346,Llama 3.1: 8B,zero_shot,0.6614208221435547,0.676598072052002,0.6689233779907227
49,4346,Llama 3.1: 8B,few_shot,0.6772251129150391,0.6721453070640564,0.6746755838394165
49,4346,Sailor2,zero_shot,0.6412723064422607,0.6360028982162476,0.638626754283905
49,4346,Sailor2,few_shot,0.6545572280883789,0.6504298448562622,0.6524869799613953
49,4346,DeepSeek-R1,zero_shot,0.6581940650939941,0.6577150821685791,0.6579544544219971
49,4346,DeepSeek-R1,few_shot,0.6539750099182129,0.6672431826591492,0.6605424284934998
50,1442,Chat-GPT,zero_shot,0.6825031042098999,0.6761943697929382,0.6793341040611267
50,1442,Chat-GPT,few_shot,0.6954400539398193,0.672681987285614,0.6838717460632324
50,1442,Gemini,zero_shot,0.7557913064956665,0.7383624911308289,0.746975302696228
50,1442,Gemini,few_shot,0.7264176607131958,0.7070014476776123,0.7165780663490295
50,1442,Claude,zero_shot,0.7401239275932312,0.7056326866149902,0.7224668860435486
50,1442,Claude,few_shot,0.6952099204063416,0.6985587477684021,0.6968802809715271
50,1442,Llama 3.1: 8B,zero_shot,0.6393386125564575,0.6433934569358826,0.6413596868515015
50,1442,Llama 3.1: 8B,few_shot,0.6651095151901245,0.6535520553588867,0.6592801213264465
50,1442,Sailor2,zero_shot,0.6309843063354492,0.6410406827926636,0.6359727382659912
50,1442,Sailor2,few_shot,0.6844754219055176,0.6762591600418091,0.6803424954414368
50,1442,DeepSeek-R1,zero_shot,0.6734490990638733,0.6710469722747803,0.6722459197044373
50,1442,DeepSeek-R1,few_shot,0.6809825301170349,0.6643625497817993,0.6725698709487915
51,6151,Chat-GPT,zero_shot,0.6964746713638306,0.713934063911438,0.7050963044166565
51,6151,Chat-GPT,few_shot,0.7266733646392822,0.7369866371154785,0.7317937016487122
51,6151,Gemini,zero_shot,0.7125247716903687,0.729194700717926,0.7207633256912231
51,6151,Gemini,few_shot,0.7160122990608215,0.7314209938049316,0.723634660243988
51,6151,Claude,zero_shot,0.7140339612960815,0.7117499113082886,0.712890088558197
51,6151,Claude,few_shot,0.7376238107681274,0.7399423122406006,0.7387812733650208
51,6151,Llama 3.1: 8B,zero_shot,0.6796108484268188,0.6763980388641357,0.6780006289482117
51,6151,Llama 3.1: 8B,few_shot,0.6542296409606934,0.6601950526237488,0.6571987867355347
51,6151,Sailor2,zero_shot,0.6899835467338562,0.706925094127655,0.6983515620231628
51,6151,Sailor2,few_shot,0.6966100931167603,0.7064230442047119,0.7014822363853455
51,6151,DeepSeek-R1,zero_shot,0.6340476870536804,0.6662172079086304,0.6497344970703125
51,6151,DeepSeek-R1,few_shot,0.6828444600105286,0.6826038956642151,0.6827241778373718
52,1714,Chat-GPT,zero_shot,0.7511460781097412,0.7663675546646118,0.7586804628372192
52,1714,Chat-GPT,few_shot,0.7406134605407715,0.772142767906189,0.7560495138168335
52,1714,Gemini,zero_shot,0.7458273768424988,0.720291793346405,0.7328372001647949
52,1714,Gemini,few_shot,0.7112393379211426,0.7153885960578918,0.7133079171180725
52,1714,Claude,zero_shot,0.7060946226119995,0.7089208960533142,0.7075049877166748
52,1714,Claude,few_shot,0.8143132925033569,0.8021643161773682,0.8081931471824646
52,1714,Llama 3.1: 8B,zero_shot,0.6817662119865417,0.6762245297431946,0.6789840459823608
52,1714,Llama 3.1: 8B,few_shot,0.6730467081069946,0.6730413436889648,0.6730440258979797
52,1714,Sailor2,zero_shot,0.6582412719726562,0.6690495610237122,0.6636014580726624
52,1714,Sailor2,few_shot,0.7118235230445862,0.7289876341819763,0.7203032970428467
52,1714,DeepSeek-R1,zero_shot,0.677981972694397,0.7032832503318787,0.6904009580612183
52,1714,DeepSeek-R1,few_shot,0.6706842184066772,0.6666949391365051,0.6686835885047913
53,1337,Chat-GPT,zero_shot,0.6745521426200867,0.6942862868309021,0.6842769384384155
