No.	ID Data Asli	Jenis Pantun	Pantun Asli Lengkap	Sampiran Asli	Isi untuk Input Model	Chat-GPT	Chat-GPT	Gemini	Gemini	Claude	Claude	Llama 3.1: 8B	Llama 3.1: 8B	Sailor2	Sailor2	DeepSeek-R1	DeepSeek-R1
26	514	Pantun pendidikan	"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu"	"Angin pagi menyentuh daun
Embun jatuh di atas batu"	"Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu"	"Burung tekukur hinggap di dahan
Embun pagi menitis di batu"	"Burung punai hinggap di dahan
Air jernih mengalir di hulu"	"Burung merpati terbang mengalun
Singgah sebentar di atas batu"	"Tumbuh subur pohon di alun,
Manis rasanya buah duku"	"Pergi ke kebun memetik daun
Singgah sejenak mencari susu"	"Perahu melaju di tepi danau
Petani menanam padi di hulu"	"Ajaran ilmu tinggi dan bijak
Amalan baik menuntun hidup yang baik"	"Bunga melati tumbuh di taman
Harumnya semerbak sepanjang hari"	"Ilmu tinggi bukan sekadar daun
Amal jadi penentu, ilmu terlahir murni"	"Di ladang ilmu berbuah lebat,
Kebaikan tulus dalam segala tindakan."	"Bunga bangsa memerlukan ilmu,
Tiang kehidupan membutuhkan amal."	"Mata pelajaran di sekolah
Buku pengetahuan di perpustakaan"
27	1636	Pantun pendidikan	"burung merpati terbang beriring
menuju senja di ufuk barat
ilmu sejati lahir dari hening
dan hati yang tulus berniat"	"burung merpati terbang beriring
menuju senja di ufuk barat"	"ilmu sejati lahir dari hening
dan hati yang tulus berniat"	" Bening telaga di kaki tebing
Padi menguning siap dituai"	"Embun bening jatuh bening
Padi menguning siap dipetik"	"Burung pipit hinggap di ranting
Membawa padi ke dalam pukat"	"Terbang burung di atas reranting,
Hinggap sebentar di atas pukat."	"Air telaga jernih dan bening
Petani ladang menanam obat"	"Air jernih tampak bening
Padi ditanam di sawah rakyat"	"Dengan diam terdengarlah suara
Hati yang tulus penuh kasih sayang"	"Pagi bersinar terbitlah matahari
Menyinari dunia dengan sinarnya"	"Ilmu sejati lahir dari hening
Hati tulus berniat, ilmu mengalir tenang"	"Layar ilmu terbuka di senyap malam,
Bijaknya timbul, damai jiwanya tenang."	"Hening budi membangun kesadaran,
Hati tulus menjadi tujuan."	"Ilmu yang benar berasal dari hati
Hati yang jujur menuntun kebijadian"
28	6142	Pantun adat dan budaya	"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara"	"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara"	"Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara"	"Anak merpati terbang melayang
Harum kenanga di tepi muara"	"Burung pulang menuju kandang
Nyiur melambai di tepi negara"	"Terbang tinggi si burung elang
Singgah sebentar di dekat muara"	"Terbang tinggi si burung elang,
Hinggap sebentar di atas muara."	"Ke tepi kolam hati pun senang
Angin sepoi menyejukkan udara"	"Burung camar terbang melayang
Pergi ke kota membeli kaca"	"Kebudayaan leluhur selalu mengalun
Budi bahasa jadi panduan hidup baik"	"Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara"	"Adat dijunjung, pusaka dikenang
Budi bahasa penyeri, negara bercahaya"	"Dalam hutan adat kita berlabuh,
Kebudayaan lestari dalam setiap langkah."	"Pusaka nenek moyang dijunjung tinggi,
Budi luhur menyertai bangsa."	"Pendidikan tinggi memang penting
Tapi akhlak mulia jauh lebih berharga"
29	6149	Pantun adat dan budaya	"Sirih kuning disusun rapi
Pinang dibelah dua bahagian
Jika hidup ingin diberkati
Pelihara adat dan pegangan"	"Sirih kuning disusun rapi
Pinang dibelah dua bahagian"	"Jika hidup ingin diberkati
Pelihara adat dan pegangan"	"Mentari pagi menyinari hati
Burung merbah bertengger di dahan"	"Bunga melati semerbak wangi
Perahu nelayan menuju tepian"	"Petik sekuntum bunga melati
Simpan sedikit di dalam genggaman"	"Memetik bunga di pagi hari,
Dibawa pulang ke tengah pekan."	"Kalau pergi ke kota Jati
Anak-anak bermain layangan"	"Bunga melati harum sekali
Pergi ke hutan mencari rotan"	"Agar hidup bahagia tanpa henti
Hiasi hidup dengan budi dan adat"	"Jika hidup ingin diberkati
Pelihara adat dan pegangan"	"Jika hidup ingin diberkati
Pelihara adat dan pegangan, hidup berkat"	"Taman pusaka dijaga ketat,
Berkah hidup tumbuh mekar tiada henti."	"Hidup sejahtera memerlukan aturan,
Saling menghormati menghilangkan keruwetan."	"Kebahagiaan hidup memerlukan
Dasar-dasar hidup yang kokoh"
30	3695	Pantun adat dan budaya	"lebat daun bunga tanjung
berbau harum bunga cempaka
adat dijaga pusaka dijunjung
baru terpelihara adat pesaka"	"lebat daun bunga tanjung
berbau harum bunga cempaka"	"adat dijaga pusaka dijunjung
baru terpelihara adat pesaka"	"Pohon tanjung tumbuh menjunjung
Layar terkembang menuju pesaka"	"Burung bangau terbang menjunjung
Bunga cempaka mekar di pusaka"	"Tinggi melambung burung di gunung
Hinggap sebentar di dahan cempaka"	"Anak nelayan menjala di tanjung,
Mekar indah bunga cempaka."	"Pergi memancing ke tepi gunung
Singgah sebentar di rumah pusaka"	"Pergi memancing ke tepi kampung
Sawah luas milik saudara"	"Hiasi kehidupan dengan adat yang tinggi
Jadi penerus tradisi leluhur sejati"	"Adat dijaga pusaka dijunjung
Baru terpelihara adat pesaka"	"Adat dijaga, pusaka dijunjung
Baru terpelihara, adat dan pusaka abadi"	"Rumah adat tegak teguh berdiri,
Tanda kebudayaan kita yang klasik dan mulia."	"Pegangan masa depan dijaga rapi,
Adat dan kebudayaan diperbarui terus."	"Adat adalah akar budaya kita
Pusaka membawa warisan peradaban"
31	1743	Pantun adat dan budaya	"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun
Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun"	"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun"	"Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun"	"Burung merbah terbang melayang
Pohon jati menghijau sepanjang "	"
Pohon kelapa tumbuh menjulang
Petani menuai sepanjang tahun"	"Layar berkembang ke pulau seberang
Hujan rintik jatuh bertahun"	"Pohon tinggi berdaun rindang,
Sejuk rasanya embun di alun."	"Bunga melati harum tak hilang
Ditanam sejak beribu tahun"	"Camar terbang di atas karang
Jangan makan buah beracun"	"Bangsa yang kuat berdiri di atas bumi
Budi dan adat menjadi penopang kekuatan"	"Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun"	"Budi bahasa tiang terbilang
Tegak bangsa, sepanjang tahun, harmoni bersemi"	"Dengan kata baik hati nan ramah,
Kemajuan bangsa sentiasa bercahaya."	"Tiang budaya menjadi kebanggaan,
Masyarakat tertib selamanya."	"Kesopanan dan sopan santun
Menjadi ciri khas bangsa kita"
32	1931	Pantun adat dan budaya	"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar"	"Daun selasih di tepi laman
Disiram embun waktu fajar"	"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar"	"Anak nelayan memegang kemudi
Perahu kecil berlayar ke muara
                  "	"Burung tekukur mencari makan
Air mengalir jernih dan segar"	"Ke mana jalan menuju hutan
Singgah berteduh di atas jajar"	"Pergi berlayar ke tengah lautan,
Melihat ombak menghempas layar."	"Anak kecil bermain layangan
Petang hari pergi belajar"	"Berjalan-jalan ke tepi hutan
Nelayan pulang membawa layar"	"Agar hidup selalu sejahtera dan bahagia
Peganglah budi dan adat sebagai pedoman"	"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar"	"Budi bahasa jadi pegangan
Agar hidup, sentiasa wajar, damai sentosa"	"Seperti daun yang saling merunduk rendah,
Tanda hormat dalam setiap pertemuan."	"Kebiasaan baik sebagai pedoman,
Hidup harmonis selamanya."	"Etika berkomunikasi membangun
Hidup harmonis dalam masyarakat"
33	4327	Pantun adat dan budaya	"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu"	"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu"	"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu"	"Pohon waru tumbuh menjunjung
Air mengalir menuju batu"	"Pohon jati tumbuh menjulang
Air mengalir menuju batu"	"Berjalan jauh naik ke gunung
Bawa bekal si kue putu"	"Perahu berlabuh di tepi tanjung,
Membeli kain berwarna biru."	"Pergi berlayar menuju gunung
Singgah sebentar duduk di batu"	"Elang terbang tinggi di gunung
Anak ikan berenang di batu"	"Berbahagialah jika hidup dipenuhi dengan adat
Sengketa dan konflik hilang dari kehidupan"	"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu"	"Jika adat sentiasa dijunjung
Hilang sengketa, hidup bersatu, rukun damai"	"Ranting pusaka terikat rapat,
Kesatuan hati tanda persaudaraan yang kuat."	"Sengketa berakhir dengan penghormatan,
Persatuan umat menjadi keabadian."	"Hidup dalam keselarasan
Adat menjadi pedoman sejati"
34	2139	Pantun adat dan budaya	"Embun perak di hujung dedalu
Bayu timur menyentuh seloka
Adat dijunjung pusaka dahulu
Jati bangsa jangan dilupa"	"Embun perak di hujung dedalu
Bayu timur menyentuh seloka"	"Adat dijunjung pusaka dahulu
Jati bangsa jangan dilupa"	"Pohon beringin tumbuh dahulu
Bunga cempaka harum menyapa"	"Puspa mekar di halaman dahulu
Anak merpati terbang melupa"	"Manis rasanya si buah duku
Beli dua di Kota Banda"	"Tumbuh lebat pohon benalu,
Mekar kuntum bunga kelapa."	"Berjalan kaki sejak dahulu
Wajah tampak berubah rupa"	"Anak dara menumbuk sagu
Jangan lupa membawa pita"	"Ingatlah jati diri sebagai bangsa
Jaga tradisi leluhur sejak awal mula"	"Adat dijunjung pusaka dahulu
Jati bangsa jangan dilupa"	"Adat dijunjung, pusaka dahulu
Jati bangsa, jangan dilupa, warisan terjaga"	"Lentera tradisi tetap bersinar,
Dalam era moden tak pernah pudar sinarnya."	"Masa lalu dihormati semua,
Jati diri tidak pernah usang."	"Agar kehidupan lebih bermartabat
Kebudayaan tinggi dijaga dengan baik"
35	2330	Pantun kiasan dan peribahasa	"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan"	"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan"	"tak kenal maka tak sayang
marilah kita berkenalan"	"Naik perahu menuju padang
Singgah sebentar membeli makanan"	"Burung datang hinggap di parang
Mari singgah minum jamuan"	"Terbang melayang burung elang
Hinggap di dahan pohon rambutan"	"Terbang tinggi si burung elang,
Singgah sebentar di tepi jalan."	"Anak burung terbang melayang
Singgah sejenak di tepi jalan"	"Pergi ke sawah menanam pisang
Singgah sebentar di tepi jalan"	"Kenali satu sama lain untuk mencintai
Agar hidup dipenuhi dengan kasih sayang"	"Tak kenal maka tak sayang
Marilah kita berkenalan"	"Tak kenal maka tak sayang
Marilah kita, berkenalan, cinta tumbuh harmoni"	"Sungai ilmu mengalir tanpa putus,
Membina persaudaraan yang abadi."	"Tak kenal maka sayang terbatalkan,
Mengenal satu per satu menjadi awal."	"Ketidaktahuan akan menyulut
Perdebatan panjang yang sia-sia"
36	5563	Pantun kiasan dan peribahasa	"pohon kelapa ditanam disana
berdekatan dengan pohon kenari
peran ibu bapak dalam dunia
bagaikan bulan dan matahari"	"pohon kelapa ditanam disana
berdekatan dengan pohon kenari"	"peran ibu bapak dalam dunia
bagaikan bulan dan matahari"	"Mentari pagi menyinari dunia
Bintang gemerlap menghias angkasa
"	"Mentari pagi menyinari dunia
Bintang terang menemani hari"	"Pergi berlayar ke Indonesia
Singgah sebentar di pagi hari"	"Indah nian pemandangan Asia,
Petik melati di pagi hari."	"Bunga melati indah di dunia
Mekar segar sepanjang hari"	"Anak kera bermain di rimba
Bunga kenanga harum berseri"	"Ibu dan Bapak adalah sumber cinta abadi
Bercahaya dan berpendar seperti bulan dan matahari"	"Peran ibu bapak dalam dunia
Bagaikan bulan dan matahari"	"Peran ibu bapak dalam dunia
Bagaikan bulan dan matahari, tiang keluarga"	"Kedamaian rumah tangga dijaga terang,
Dari sinar cinta tak berkesudahan."	"Ibu bapak adalah fondasi bangsa,
Peran strategis tanpa batasnya."	"Peran orang tua di dunia ini
Seperti matahari dan bulan yang berdua"
37	313	Pantun kiasan dan peribahasa	"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati
Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati"	"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati"	"Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati"	"Bunga melati harum tak lupa
Benang disulam menjadi tali mati"	"Burung merpati terbang lupa
Akar menjalar kuat tak mati"	"Berlayar jauh ke Bintan Kelapa
Singgah berlabuh di muara jati"	"Jatuh buah dari kelapa,
Tumbuh melati di dalam peti."	"Kain batik bermacam rupa
Bunga kemboja layu lalu mati
"	"Anak angsa berenang di rawa
Pucuk pandan wangi sekali"	"Jangan pernah melupakan orang yang dicintai
Seperti rambut selalu menyimpan kenangan manis"	"Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati"	"Di dalam hati, tidakkan lupa
Bagai rambut tersimpul mati, ikatan abadi"	"Mutiara nasihat selamanya diingati,
Kebajikan abadi seperti cahaya matahari."	"Dalam balik pucuk tidakkan lupa,
Seperti akar yang kuat memikat."	"Mereka memberi kita cahaya
Dan tempat perlindungan selamanya"
38	3270	Pantun kiasan dan peribahasa	"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani"	"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi"	"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani"	"Pelita lama bernyala cuma
Embun pagi membasahi rohani"	"Bunga melati harum bermakna
Burung berkicau di pagi hari"	"Beli beras di pasar utama
Bawa pulang ke rumah petani"	"Pergi berlayar bersama-sama,
Memetik kuntum bunga melati."	"Ke pasar pagi membeli kaca
Jangan gentar jadilah berani"	"Ke pasar membeli minyak kelapa
Burung camar terbang tinggi"	"Tanpa etika dan kebajikan, ilmu tidak berguna
Seperti badan tanpa jiwa yang ada di dalamnya"	"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani"	"Ilmu tanpa akhlak percuma
Bagaikan raga, tanpa rohani, hidup hampa"	"Lentera ilmu dan iman bersatu,
Membentuk jiwa mulia nan terpuji."	"Ilmu tanpa akhlak jauh artinya,
Pendidikan memerlukan budi pekerti."	"Ilmu yang tidak diimbangi akhlak
Seperti tubuh tanpa jiwa yang sempurna"
39	5861	Pantun kiasan dan peribahasa	"sampan perahu mengejar kayak
dari hulu tak kenakena
dusta itu bagaikan riak
membuat hati gundah gulana"	"sampan perahu mengejar kayak
dari hulu tak kenakena"	"dusta itu bagaikan riak
membuat hati gundah gulana"	"Air mengalir memecah riak
Awan kelabu menutup buana"	"Riak kecil mengusik muara
Angin petang berhembus perlahan"	"Burung camar terbang berteriak
Hinggap di karang pesisir fana"	"Batu karang dihantam ombak,
Tumbuh melati di tepi buana."	"Anak kecil suka berteriak
Bermain riang di teras sana"	"Angin bertiup kencang berdesak
Hatinya sedih tiada terkira"	"Kegiatan berbohong seperti ombak yang membentur
Membuat hati seseorang menjadi bingung dan gundah"	"Dusta itu bagaikan riak
Membuat hati gundah gulana"	"Dusta itu, bagai riak
Membuat hati, gundah gulana, sengketa berlarutan"	"Kata benar yang jernih seperti kristal,
Teguhlah iman di setiap langkah hidup."	"Dusta seperti permukaan air yang bergerigi,
Membuat jiwa terasa berat."	"Kebenaran yang murni seperti
Permukaan air yang tenang dan jernih"
40	6548	Pantun kiasan dan peribahasa	"tumbuh merata pohon tebu
pergi ke pasar membeli daging
banyak harta miskin ilmu
bagai rumah tidak berdinding"	"tumbuh merata pohon tebu
pergi ke pasar membeli daging"	"banyak harta miskin ilmu
bagai rumah tidak berdinding"	"Banyak sawah ditumbuhi bambu
Pagar kayu rapat berdinding"	"Banyak padi tersimpan di lumbung
Pagar bambu tegak mengeliling"	"Ke bukit tinggi memetik jamu
Bawa galah di bambu kuning"	"Naik perahu membeli jamu,
Hinggap burung di atas ranting."	"Pergi ke pasar membeli batu
Lonceng tua berbunyi berdenting"	"Pergi ke pasar membeli tebu
Air mengalir jernih dan bening"	"Harta materi yang melimpah, tetapi kurang pengetahuan
Seperti sebuah rumah tanpa dinding yang kokoh dan aman"	"Banyak harta miskin ilmu
Bagaikan rumah tidak berdinding"	"Banyak harta, miskin ilmu
Bagai rumah, tidak berdinding, kosong dan rapuh"	"Mahkota pengetahuan dan budi pekerti,
Membina benteng kokoh dalam diri."	"Harta memang berharga di dunia,
Tapi ilmu adalah harta yang kekal."	"Harta benda tidak akan abadi
Tanpa ilmu, kehidupan seperti mimpi"
41	6406	Pantun cinta dan kasih	"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung
Hati terkenang mulut menyebut
Rindu kini tiada penghujung"	"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung"	"Hati terkenang mulut menyebut
Rindu kini tiada penghujung"	"Burung tempua hinggap menyebut
Ombak berdebur tiada penghujung
"	"Burung tempua membuat rebut
Perahu berlayar ke hujung"	"Pasang surut air di laut
Burung camar terbang ke gunung"	"Pohon bambu lebat berserabut,
Perahu berlabuh di muara tanjung."	"Kalau berpantun jangan lupa sebut
Pergi mendaki ke atas gunung"	"Ikan gabus di dalam laut
Camar terbang menuju kampung
"	"Rasa rindu terus mengingatkan kenangan manis
Tidak ada akhirnya, karena cinta selalu abadi"	"Hati terkenang mulut menyebut
Rindu kini tiada penghujung"	"Hati terkenang, mulut menyebut
Rindu kini, tiada penghujung, kenangan abadi"	"Kupu-kupu asmara berkibar rindu,
Cinta abadi tak berbatas waktu."	"Lisan ingatan selalu memanggil,
Rasa yang mendalam tidakkan tergantikan."	"Rasa yang terpendam dalam hati
Bisa mengubah nada bicara kita"
42	1635	Pantun cinta dan kasih	"Burung merpati terbang berdua
Menyusuri awan indah berlapis
Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis"	"Burung merpati terbang berdua
Menyusuri awan indah berlapis"	"Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis"	"Bunga kenanga tetap terjaga
Harum melati semerbak habis"	"Bunga melur tumbuh terjaga
Air mengalir tiada habis"	"Tinggi menjulang si pohon naga
Tumbuh subur di dekat gerimis"	"Tumbuh rindang pohon mangga,
Disiram hujan hingga gerimis."	"Jaga dirimu jaga raga
Jangan sampai bekalnya habis"	"Pohon jati tumbuh di rimba
Air jernih mengalir manis"	"Jaga kasih sayang agar tetap utuh dan tidak hilang
Cintamu akan menjadi abadi seumur hidup"	"Kasih dan sayang mari terjaga
Cinta abadi tak pernah habis"	"Kasih dan sayang, mari terjaga
Cinta abadi, tak pernah habis, kekal selamanya"	"Lautan kasih mengalir tanpa henti,
Dalam hati dua jiwa yang sejiwa."	"Sayang kasih dijaga dengan baik,
Cinta sejati abadi selamanya."	"Cinta dan kasih sayang perlu dijaga
Agar kebahagiaan tetap abadi terasa"
43	1414	Pantun cinta dan kasih	"bunga melati warnanya putih
tertiup angin dibasuh hujan
jika kamu menaruh kasih
langsung kita ke pelaminan"	"bunga melati warnanya putih
tertiup angin dibasuh hujan"	"jika kamu menaruh kasih
langsung kita ke pelaminan"	"Burung pipit mencari kasih
Bunga melati mekar di taman"	"Burung pipit mencari kasih
Bunga melur siap di pelaminan"	"Berlayar jauh mencari selasih
Bawa pulang ke tengah halaman"	"Kain putih terlihat bersih,
Duduk santai di atas tampan."	"Anak dara menjunjung kasih
Jangan lupa membawa impian"	"Bunga melur harum berseri putih
Sudah lama menanti di jalan"	"Bila kamu mencintai aku, kami akan menuju ke pelaminan
Bersama-sama memulai perjalanan cinta dan kasih sayang"	"Jika kamu menaruh kasih
Langsung kita ke pelaminan"	"Jika kamu, menaruh kasih
Langsung kita, ke pelaminan, jodoh terpilih"	"Cinta bersemi dalam ikatan janji,
Kebahagiaan abadi di hari suci."	"Kasih sayang dihati kita tanam,
Demi jodoh yang akan datang."	"Jika saling menyayangi
Maka hubungan akan kekal abadi"
44	1599	Pantun cinta dan kasih	"Burung kenari bersuara sendu
Di pohon ara tepi halaman
Jika rindu datang bertalu
Mengapa engkau tak beri jawaban"	"Burung kenari bersuara sendu
Di pohon ara tepi halaman"	"Jika rindu datang bertalu
Mengapa engkau tak beri jawaban"	"Jika senja datang bertalu
Mengapa burung singgah di dahan"	"Burung tekukur terbang bertalu
Mengapa camar singgah di dahan"	"Hujan turun berderai selalu
Basah kuyup di tengah jalan"	"Angin berhembus terasa pilu,
Melihat perahu di tepi lautan."	"Kalau berjalan cepat berlalu
Di langit tinggi berarak awan"	"Angin berhembus menuju hulu
Sudah lama menanti balasan"	"Ketika rasa rindu datang, mengapa kamu tidak menjawabnya?
Mungkin ada alasan yang membuatmu diam dan tidak menanggapinya"	"Jika rindu datang bertalu
Mengapa engkau tak beri jawaban"	"Jika rindu, datang bertalu
Mengapa engkau, tak beri jawaban, hati bertanya"	"Dengan sabar menanti panggilan asmara,
Cinta kita tetap utuh selamanya."	"Rindu mendalam datang bertandanya,
Belum ada sebab untuk kekal."	"Rasa rindu yang mendalam
Mungkin membawa pertanyaan beribu"
45	1660	Pantun cinta dan kasih	"Burung nuri hinggap di sena
Menyisir bulu waktu petang
Jika rindu bukan sengketa
Mengapa hati terus bergoncang"	"Burung nuri hinggap di sena
Menyisir bulu waktu petang"	"Jika rindu bukan sengketa
Mengapa hati terus bergoncang"	"Jika hujan bukan sengketa
Mengapa ombak terus bergoncang"	"Jika hujan turun merata
Mengapa ombak terus bergoncang"	"Indah diukir permata kota
Terbang tinggi si burung elang"	"Tinggi menjulang bukit permata,
Tampak burung terbang melayang."	"Naik kereta pergi ke kota
Perahu kecil terus terguncang"	"Anak ayam berlari ke rimba
Ombak berdebur di tepi karang"	"Rasa rindu sebenarnya bukanlah perselisihan atau sengketa
Mungkin ada alasan yang membuatmu merasakan kesedihan dan kebingungan"	"Jika rindu bukan sengketa
Mengapa hati terus bergoncang"	"Jika rindu, bukan sengketa
Mengapa hati, terus bergoncang, resah tak henti"	"Sebuah puisi cinta berbisik lembut,
Kita saling merindukan tanpa ragu."	"Rindu yang sejati tidak memunculkan benturan,
Semata-mata keinginan yang membara."	"Rindu yang tidak terbalas
Dapat membuat hati terasa berat"
46	3362	Pantun cinta dan kasih	"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati"	"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati"	"Rindu padamu kian berputar
Kasih terikat janji sejati"	"Pusing gasing kian berputar
Bunga melati harum sejati"	"Roda pedati terus berputar
Rotan dianyam menjadi titi
"	"Layar terkembang haluan berputar
Singgah berlabuh di pulau jati"	"Pohon jati tumbuh membesar,
Menanam bunga di dalam peti."	"Roda pedati terus berputar
Kembang melati harum di hati"	"Perahu nelayan berlayar besar
Kain sutra halus berseri
"	"Rasa rindumu semakin kuat, seperti roda yang terus berputar
Kasih sayang antara kita saling memeluk dan mengikatkan diri"	"Rindu padamu kian berputar
Kasih terikat janji sejati"	"Rindu padamu, kian berputar
Kasih terikat, janji sejati, cinta abadi"	"Taman asmara mekar dalam kenangan,
Cinta abadi selamanya bersemi."	"Rindu berlari menyusuri waktu,
Janji setia menjadi pegangan."	"Kekaguman terhadap seseorang
Ditopang oleh janji-janji setia"
47	4689	Pantun cinta dan kasih	"pasar sawang beli lawang
salak pondoh sepat rasanya
sabar sayang abang kan pulang
ada jodoh tidak akan ke mana"	"pasar sawang beli lawang
salak pondoh sepat rasanya"	"sabar sayang abang kan pulang
ada jodoh tidak akan ke mana"	"Sabar adinda esok kan pulang
Ada perahu berlabuh di muara"	"Sabar menanti musim kemarau
Burung merpati pulang ke mana"	"Anak ayam melompat di keranjang
Bawa umpan ke tengah pesona"	"Terbang tinggi si burung elang,
Singgah sebentar di tepi buana."	"Sampan kecil menuju pulang
Burung pipit terbang ke sana"	"Camar putih terbang melayang
Jauh dekat tetap saudara"	"Tunggalkan sabar, suami akan kembali
Jangan khawatir tentang hal-hal yang tidak pasti atau terjadi di masa depan"	"Sabar sayang abang kan pulang
Ada jodoh tidak akan ke mana"	"Sabar sayang, abang kan pulang
Ada jodoh, tidak akan ke mana, janji setia"	"Seperti bintang malam menanti fajar,
Kita bersatu dalam janji cinta suci."	"Bilangan sabar menghadapi masalah,
Jalan pulang pasti akan terbuka lebar."	"Kekuatan untuk bersabar dan sayang
Membuat kita tetap teguh menanti"
48	1170	Pantun cinta dan kasih	"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih"	"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih"	"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih"	"Biar perahu dilambung ombak
Tidak kulupa harum kekasih"	"Biar perahu dilambung ombak
Bunga melati tetap dikasih"	"Memukul gelombang memecah ombak
Hinggap di dahan pohon selasih"	"Bunga melati tumbuh di semak,
Pakaian putih terlihat bersih."	"Perahu nelayan dilanda ombak
Merpati terbang mencari kasih"	"Sejak kecil hidup di tepi tambak
Air sungai jernih dan bersih"	"Berada dalam badai selama berabad-abad
Tapi aku tidak pernah melupakan orang yang dicintai"	"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih"	"Biar bertahun, dilambung ombak
Tidak ku lupa, pada yang kasih, cinta teguh"	"Lentera asmara tetap menyala terang,
Menghangatkan hati di setiap malam sepi."	"Ombak laut menghanyutkan perahu,
Namun budi dan akhlak tetap terjaga."	"Meskipun waktu terasa lama
Kasih sayang tidak pernah berubah"
49	4346	Pantun cinta dan kasih	"ombak lembut mencium pantai
pasir putih terlukis senja
rindu ini tak pernah usai
seperti laut mencinta Samudra"	"ombak lembut mencium pantai
pasir putih terlukis senja"	"rindu ini tak pernah usai
seperti laut mencinta Samudra"	"Senja indah tak pernah usai
Seperti sungai menuju muara"	"Ombak pantai berlagu usai
Burung camar terbang ke muara"	"Pagi hari memetik serai
Bawa ke pasar di tepi muara"	"Pergi berlayar ke tepi pantai,
Melihat burung di atas muara."	"Berlayar jauh menuju pantai
Ombak berdebur di nusantara"	"Ombak berdebur sepanjang pantai
Ikan berenang riang gembira"	"Rasa rindumu tidak akan pernah berakhir atau hilang
Seperti lautan yang selalu mengalir dan mencintai Samudra"	"Rindu ini tak pernah usai
Seperti laut mencinta Samudra"	"Rindu ini, tak pernah usai
Seperti laut, mencinta Samudra, cinta abadi"	"Samudera kasih tiada batasnya,
Mengalirkan rasa abadi dalam jiwa."	"Rindu ini seperti lautan yang tidak pernah surut,
Cinta sejati terus mengalir meski jauh."	"Perasaan rindu yang mendalam
Seperti samudra yang tidak pernah kering"
